prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index,match_role
36014,36059,Copilot,Copilot,Copilot,Copilot,1747726371.0,1748427956.0,1747957857.0,1751353079.0,closed_unmerged,closed_unmerged,False,470099.0,221981891,microsoft/playwright,same,2,intra
15750,15752,Copilot,Copilot,Copilot,Copilot,1755191958.0,1755618897.0,1755192064.0,1756856987.0,closed_unmerged,closed_unmerged,False,426833.0,104365663,pulumi/docs,same,10,intra
42053,42195,Copilot,Copilot,Copilot,Copilot,1752697537.0,1754328677.0,1753305524.0,1755544231.0,closed_unmerged,closed_unmerged,False,1023153.0,4127088,Azure/azure-sdk-for-python,same,284,intra
2267,2316,OpenAI_Codex,OpenAI_Codex,bobzhang,bobzhang,1749804362.0,1757168763.0,1750668735.0,1750669403.0,closed_unmerged,merged,False,668.0,749681472,moonbitlang/core,same,38,intra
144,146,OpenAI_Codex,OpenAI_Codex,estruyf,estruyf,1749192224.0,1749192602.0,1749192263.0,1749192565.0,merged,merged,False,302.0,726072067,estruyf/vscode-demo-time,same,6,intra
1934,1982,Copilot,Copilot,Copilot,Copilot,1749238863.0,1749657198.0,1749579607.0,1749582474.0,merged,merged,False,2867.0,221931137,celestiaorg/celestia-core,same,98,intra
37243,37306,Cursor,Cursor,Twixes,Twixes,1756308892.0,1756725858.0,1756392067.0,1756508709.0,merged,merged,False,116642.0,235901813,PostHog/posthog,same,3,intra
2068,2126,OpenAI_Codex,OpenAI_Codex,carlosvirreira,carlosvirreira,1759158420.0,1761215652.0,1760700959.0,1760706977.0,closed_unmerged,merged,False,6018.0,600113513,Shelf-nu/shelf.nu,same,124,intra
3283,3320,Copilot,Copilot,Copilot,Copilot,1756309834.0,1757322083.0,1757010449.0,1757015553.0,closed_unmerged,merged,False,5104.0,607729034,operately/operately,same,234,intra
1052,1061,Copilot,Copilot,Copilot,Copilot,1756505526.0,1757008074.0,1756933135.0,1756933952.0,closed_unmerged,merged,False,817.0,45490972,frostwire/frostwire,same,14,intra
268513,268541,Copilot,Copilot,Copilot,Copilot,1758906055.0,1759171841.0,1758914205.0,1759338094.0,closed_unmerged,merged,False,257636.0,41881900,microsoft/vscode,same,7502,intra
355,483,Copilot,Copilot,Copilot,Copilot,1750435969.0,1757355649.0,1754669832.0,1755119860.0,closed_unmerged,merged,False,450028.0,898171798,microsoft/fabric-cicd,same,27,intra
6077,6093,OpenAI_Codex,OpenAI_Codex,benceruleanlu,benceruleanlu,1760554072.0,1760686664.0,1760643438.0,1760663763.0,merged,merged,False,20325.0,814403270,Comfy-Org/ComfyUI_frontend,same,14,intra
16057,16600,Copilot,Copilot,Copilot,Copilot,1749009281.0,1757403765.0,1751853984.0,1751864235.0,closed_unmerged,merged,False,10251.0,136202695,mlflow/mlflow,same,147,intra
20,23,Copilot,Copilot,Copilot,Copilot,1749398723.0,1750769269.0,1749429266.0,1749430269.0,closed_unmerged,merged,False,1003.0,988545158,aavetis/PRarena,same,0,intra
1858,1859,Copilot,Copilot,Copilot,Copilot,1760701049.0,1760766648.0,1760702339.0,1760702866.0,closed_unmerged,merged,False,527.0,1036865607,githubnext/gh-aw,same,2131,intra
1606,1609,Copilot,Copilot,Copilot,Copilot,1759968853.0,1759981394.0,1759972839.0,1759975723.0,merged,merged,False,2884.0,4213474,Humanizr/Humanizer,same,3,intra
13099,13553,Copilot,Copilot,Copilot,Copilot,1755201752.0,1758874240.0,1757054575.0,1757346100.0,closed_unmerged,closed_unmerged,False,291525.0,599431918,oxc-project/oxc,same,1055,intra
327,328,OpenAI_Codex,OpenAI_Codex,machinewrapped,machinewrapped,1756932346.0,1757021451.0,1756965313.0,1757317423.0,closed_unmerged,closed_unmerged,False,56138.0,617799085,machinewrapped/llm-subtrans,same,2,intra
1203,1206,Copilot,Copilot,Copilot,Copilot,1757176527.0,1757350700.0,1757263650.0,1757354081.0,merged,merged,False,87050.0,846769747,wvlet/wvlet,same,2,intra
675,676,OpenAI_Codex,OpenAI_Codex,pardeike,pardeike,1747501945.0,1747503766.0,1747503530.0,1747504141.0,closed_unmerged,merged,False,236.0,78002587,pardeike/Harmony,same,0,intra
22777,23434,OpenAI_Codex,OpenAI_Codex,WoosukKwon,maxdebayser,1755054390.0,1758643395.0,1755875500.0,1756451042.0,closed_unmerged,merged,False,575542.0,599547518,vllm-project/vllm,same,33,intra
11142,11209,Copilot,Copilot,Copilot,Copilot,1753253684.0,1753941348.0,1753758492.0,1753775416.0,closed_unmerged,closed_unmerged,False,16924.0,476642602,web-infra-dev/rspack,same,1,intra
4807,4809,Copilot,Copilot,Copilot,Copilot,1754182567.0,1754192771.0,1754184314.0,1754187982.0,merged,closed_unmerged,False,3668.0,509028,benwbrum/fromthepage,same,204,intra
1965,1966,Copilot,Copilot,Copilot,Copilot,1756031024.0,1756032999.0,1756031408.0,1756032987.0,closed_unmerged,merged,False,1579.0,29011477,konvajs/konva,same,0,intra
1350,1352,OpenAI_Codex,OpenAI_Codex,toyamarinyon,toyamarinyon,1751547526.0,1751586734.0,1751547589.0,1751586764.0,merged,merged,False,39145.0,845317529,giselles-ai/giselle,same,231,intra
100,104,OpenAI_Codex,OpenAI_Codex,gtg922r,gtg922r,1748354194.0,1748672150.0,1748670974.0,1748671238.0,merged,merged,False,264.0,552234230,gtg922r/obsidian-numerals,same,0,intra
21585,21588,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1745741357.0,1746454616.0,1745743079.0,1746454616.0,closed_unmerged,closed_unmerged,False,711537.0,453068084,risingwavelabs/risingwave,same,0,intra
8219,8260,Copilot,Copilot,Copilot,Copilot,1760387236.0,1761213821.0,1760571866.0,1760600902.0,merged,closed_unmerged,False,29036.0,102537698,epam/ketcher,same,1001,intra
959,967,Copilot,Copilot,Copilot,Copilot,1757396496.0,1757448367.0,1757422373.0,1757423860.0,merged,closed_unmerged,False,1487.0,999686447,microsoft/vscode-copilot-chat,same,5,intra
973,975,Copilot,Copilot,Copilot,Copilot,1751558124.0,1752013491.0,1751558187.0,1751574301.0,merged,merged,False,16114.0,780660899,vltpkg/vltpkg,same,12,intra
32153,32156,Copilot,Copilot,Copilot,Copilot,1753140699.0,1753144174.0,1753140953.0,1753741697.0,merged,merged,False,3221.0,552661142,langchain-ai/langchain,same,21,intra
1158,1172,OpenAI_Codex,OpenAI_Codex,mosch,mosch,1749546238.0,1749666994.0,1749657529.0,1749659479.0,merged,merged,False,1950.0,843437350,zuplo/zudoku,same,4,intra
1378,1379,OpenAI_Codex,OpenAI_Codex,lupino3,lupino3,1751289522.0,1751290241.0,1751290177.0,1751290264.0,merged,merged,False,64.0,2327138,EduMIPS64/edumips64,same,1,intra
6682,6684,Copilot,Copilot,Copilot,Copilot,1748089831.0,1748114831.0,1748091538.0,1748114755.0,closed_unmerged,closed_unmerged,False,23217.0,151148482,elsa-workflows/elsa-core,same,41,intra
660,662,OpenAI_Codex,OpenAI_Codex,richiemcilroy,richiemcilroy,1750246689.0,1751275170.0,1750265293.0,1750931054.0,merged,closed_unmerged,False,665761.0,720209383,CapSoftware/Cap,same,96,intra
10010,10031,OpenAI_Codex,OpenAI_Codex,Swiftyos,itsababseh,1747926240.0,1748875655.0,1748105865.0,1748358823.0,closed_unmerged,merged,False,252958.0,614765452,Significant-Gravitas/AutoGPT,same,81,intra
114,117,Copilot,Copilot,Copilot,Copilot,1753944198.0,1754100571.0,1753947315.0,1754100579.0,closed_unmerged,closed_unmerged,False,153256.0,1019382196,web-infra-dev/rslint,same,16,intra
337,351,Copilot,Copilot,Copilot,Copilot,1757542638.0,1758170001.0,1758150761.0,1758152749.0,closed_unmerged,closed_unmerged,False,1988.0,593184777,epicweb-dev/epicshop,same,162,intra
885,890,Cursor,Cursor,l1b0k,l1b0k,1757172939.0,1758542256.0,1757338500.0,1757414378.0,closed_unmerged,merged,False,75878.0,142563999,AliyunContainerService/terway,same,7,intra
32805,32807,Copilot,Copilot,Copilot,Copilot,1761214471.0,1761220679.0,1761215389.0,1761220655.0,closed_unmerged,closed_unmerged,False,5266.0,54173593,storybookjs/storybook,same,24,intra
175,205,Copilot,Copilot,Copilot,Copilot,1752185942.0,1754656937.0,1753802570.0,1753804287.0,merged,merged,False,1717.0,927890076,modelcontextprotocol/registry,same,0,intra
14911,14926,Copilot,Copilot,Copilot,Copilot,1758825813.0,1758910744.0,1758841749.0,1758993228.0,closed_unmerged,closed_unmerged,False,68995.0,671269505,BerriAI/litellm,same,0,intra
906,909,Cursor,Cursor,YunaiV,YunaiV,1753773955.0,1754098219.0,1753859900.0,1754098206.0,closed_unmerged,closed_unmerged,False,238306.0,332357698,YunaiV/ruoyi-vue-pro,same,0,intra
149696,149744,Copilot,Copilot,Copilot,Copilot,1753902112.0,1759701914.0,1753963921.0,1754304706.0,closed_unmerged,closed_unmerged,False,340785.0,12888993,home-assistant/core,same,5,intra
5542,5548,Copilot,Copilot,Copilot,Copilot,1753979946.0,1754033912.0,1754026347.0,1754032723.0,merged,closed_unmerged,False,6376.0,693187866,rolldown/rolldown,same,1,intra
2207,2604,OpenAI_Codex,OpenAI_Codex,vitarb,vitarb,1749680264.0,1758057081.0,1757624346.0,1757749988.0,closed_unmerged,merged,False,125642.0,775743011,valkey-io/valkey,same,0,intra
69818,70130,Cursor,Cursor,neil-marcellini,blimpich,1756928411.0,1757425914.0,1757355791.0,1757356435.0,closed_unmerged,closed_unmerged,False,644.0,285902689,Expensify/App,same,1,intra
118,119,Cursor,Cursor,Mr-Quin,Mr-Quin,1755329315.0,1755387457.0,1755329552.0,1755388806.0,merged,merged,False,57905.0,628067244,Mr-Quin/danmaku-anywhere,same,11,intra
1265,1279,Copilot,Copilot,Copilot,Copilot,1759146722.0,1759994815.0,1759979665.0,1760357334.0,merged,merged,False,15150.0,832452447,web-infra-dev/midscene,same,1,intra
5053,5078,Copilot,Copilot,Copilot,Copilot,1750925488.0,1752477054.0,1751529045.0,1751558068.0,closed_unmerged,merged,False,29023.0,35030133,owid/owid-grapher,same,0,intra
1761,1786,Claude_Code,Claude_Code,justin808,justin808,1756960316.0,1758702121.0,1758094221.0,1758186370.0,closed_unmerged,merged,False,92149.0,41117523,shakacode/react_on_rails,same,0,intra
281,282,OpenAI_Codex,OpenAI_Codex,zemaj,zemaj,1759045611.0,1759276468.0,1759045693.0,1759276475.0,closed_unmerged,closed_unmerged,False,230775.0,1035299828,just-every/code,same,0,intra
11013,11018,Copilot,Copilot,Copilot,Copilot,1755603877.0,1755771596.0,1755770921.0,1755772047.0,merged,merged,False,675.0,115110181,swc-project/swc,same,1,intra
1816,1817,Cursor,Cursor,imbhargav5,imbhargav5,1753084941.0,1753091713.0,1753084949.0,1753090378.0,merged,merged,False,5429.0,156734327,imbhargav5/rooks,same,60,intra
4904,4937,Copilot,Copilot,Copilot,Copilot,1755839191.0,1757657155.0,1756448706.0,1759134825.0,closed_unmerged,merged,False,1208449.0,114006193,deepmodeling/deepmd-kit,same,20,intra
87,88,OpenAI_Codex,OpenAI_Codex,bhauman,bhauman,1755538163.0,1759632056.0,1755538579.0,1755560964.0,closed_unmerged,closed_unmerged,False,22385.0,957163661,bhauman/clojure-mcp,same,0,intra
544,558,Cursor,Cursor,kentcdodds,kentcdodds,1751590075.0,1755550322.0,1755379179.0,1755550305.0,closed_unmerged,merged,False,171126.0,320393623,kentcdodds/kentcdodds.com,same,2,intra
22393,22858,Copilot,Copilot,Copilot,Copilot,1752666178.0,1754883386.0,1754848197.0,1755498500.0,merged,merged,False,35189.0,391740664,open-metadata/OpenMetadata,same,34,intra
3924,3925,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1738861646.0,1739636150.0,1738865468.0,1739636150.0,closed_unmerged,closed_unmerged,False,770682.0,633262635,onyx-dot-app/onyx,same,34,intra
10407,10408,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1745986433.0,1746209917.0,1745990349.0,1746239223.0,closed_unmerged,closed_unmerged,False,219568.0,413918947,vercel/turborepo,same,0,intra
927,938,OpenAI_Codex,OpenAI_Codex,kolaente,kolaente,1749724888.0,1750762476.0,1749800873.0,1749802997.0,closed_unmerged,merged,False,2124.0,159556794,go-vikunja/vikunja,same,211,intra
399,424,Copilot,Copilot,Copilot,Copilot,1754297951.0,1758052977.0,1757973894.0,1758033487.0,merged,merged,False,59593.0,294037465,swingerman/ha-dual-smart-thermostat,same,1,intra
1780,1785,Claude_Code,Claude_Code,delano,delano,1759730269.0,1761342720.0,1759815928.0,1759816365.0,merged,closed_unmerged,False,437.0,7913195,onetimesecret/onetimesecret,same,0,intra
4030,4031,OpenAI_Codex,OpenAI_Codex,shai-almog,shai-almog,1761098923.0,1761099201.0,1761099038.0,1761102470.0,merged,merged,False,163.0,32973467,codenameone/CodenameOne,same,62,intra
2125,2142,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1750209244.0,1751466464.0,1750728336.0,1751466464.0,closed_unmerged,closed_unmerged,False,738128.0,722184017,assistant-ui/assistant-ui,same,4,intra
2022,2031,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747155813.0,1750181915.0,1747530358.0,1747756589.0,closed_unmerged,merged,False,226231.0,392768635,faros-ai/airbyte-connectors,same,5,intra
3508,3558,OpenAI_Codex,OpenAI_Codex,gaby,ReneWerner87,1749336919.0,1753280896.0,1751358951.0,1751360818.0,merged,closed_unmerged,False,1867.0,234231371,gofiber/fiber,same,83,intra
1419,1424,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1739836205.0,1740588494.0,1739855362.0,1739993991.0,closed_unmerged,closed_unmerged,False,138629.0,820087727,onlook-dev/onlook,same,174,intra
9053,9072,Claude_Code,Claude_Code,epinzur,epinzur,1761033405.0,1761059792.0,1761055147.0,1761073130.0,merged,merged,False,4645.0,839037098,mastra-ai/mastra,same,12,intra
8304,8431,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1744013764.0,1747051343.0,1744208072.0,1744271580.0,merged,closed_unmerged,False,63508.0,131995661,shopware/shopware,same,7,intra
120,121,OpenAI_Codex,OpenAI_Codex,jeremyfowers,jeremyfowers,1754224772.0,1754581226.0,1754226974.0,1758815843.0,merged,closed_unmerged,False,354252.0,984341155,lemonade-sdk/lemonade,same,0,intra
8395,8412,OpenAI_Codex,OpenAI_Codex,Rello,Rello,1750793731.0,1752686295.0,1751030314.0,1751030324.0,closed_unmerged,merged,False,10.0,105010691,nextcloud/desktop,same,5,intra
2766,2767,Cursor,Cursor,callicles,callicles,1758124791.0,1758640152.0,1758124794.0,1758905589.0,merged,merged,False,515358.0,668493044,514-labs/moosestack,same,46,intra
32,33,Copilot,Copilot,Copilot,Copilot,1752341599.0,1752442239.0,1752342127.0,1752343767.0,closed_unmerged,merged,False,1640.0,122162,bmander/graphserver,same,0,intra
9604,10036,Copilot,Copilot,Copilot,Copilot,1752746166.0,1761353390.0,1754174689.0,1754424577.0,closed_unmerged,merged,False,249888.0,128479644,esphome/esphome,same,1,intra
75,76,Copilot,Copilot,Copilot,Copilot,1751859011.0,1751859114.0,1751859092.0,1751859105.0,closed_unmerged,closed_unmerged,False,13.0,722597620,rustfs/rustfs,same,2,intra
191,282,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747078672.0,1759243027.0,1749463242.0,1749490658.0,closed_unmerged,closed_unmerged,False,27416.0,913914262,appdotbuild/agent,same,20,intra
231,232,OpenAI_Codex,OpenAI_Codex,salbahra,salbahra,1747448944.0,1748000329.0,1747449418.0,1747449711.0,merged,merged,False,293.0,11863336,OpenSprinkler/OpenSprinkler-App,same,0,intra
1236,1247,Copilot,Copilot,Copilot,Copilot,1753826720.0,1759720569.0,1754588638.0,1759463150.0,closed_unmerged,merged,False,4874512.0,587859813,project-copacetic/copacetic,same,5,intra
18017,18060,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1748030853.0,1748787502.0,1748357014.0,1749049976.0,closed_unmerged,closed_unmerged,False,430488.0,440752086,coder/coder,same,1,intra
10306,10320,Cursor,Cursor,abnegate,abnegate,1755000731.0,1756806141.0,1755166672.0,1755243504.0,closed_unmerged,closed_unmerged,False,76832.0,180190854,appwrite/appwrite,same,5,intra
6210,6212,OpenAI_Codex,OpenAI_Codex,steveruizok,steveruizok,1749419473.0,1749477542.0,1749419964.0,1749422086.0,merged,merged,False,2122.0,365739812,tldraw/tldraw,same,1,intra
82513,82514,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1754824185.0,1755026607.0,1754824557.0,1755026636.0,closed_unmerged,closed_unmerged,False,202050.0,70107786,vercel/next.js,same,2,intra
5459,5462,Cursor,Cursor,sedghi,sedghi,1759526477.0,1759758045.0,1759756033.0,1759757996.0,closed_unmerged,merged,False,1963.0,44164233,OHIF/Viewers,same,0,intra
4292,4294,Copilot,Copilot,Copilot,Copilot,1760479782.0,1760497421.0,1760479814.0,1760497900.0,closed_unmerged,closed_unmerged,False,17607.0,256628396,onflow/cadence,same,12,intra
64,65,OpenAI_Codex,OpenAI_Codex,ultmaster,ultmaster,1753780815.0,1753869347.0,1753783516.0,1753869359.0,merged,merged,False,85831.0,895926919,microsoft/poml,same,50,intra
5459,5461,Copilot,Copilot,Copilot,Copilot,1759084402.0,1759085496.0,1759085171.0,1759134611.0,closed_unmerged,closed_unmerged,False,325.0,49670957,eclipse-rdf4j/rdf4j,same,0,intra
447,454,OpenAI_Codex,OpenAI_Codex,Rello,Rello,1747557309.0,1747749992.0,1747575839.0,1747575900.0,closed_unmerged,merged,False,61.0,213728552,Rello/analytics,same,14,intra
5629,5636,Cursor,Cursor,jdx,jdx,1752473657.0,1752851612.0,1752499329.0,1752499606.0,merged,merged,False,277.0,586920414,jdx/mise,same,13,intra
521,531,Copilot,Copilot,Copilot,Copilot,1748065899.0,1751617201.0,1748349928.0,1748350539.0,closed_unmerged,merged,False,611.0,622646426,elsa-workflows/elsa-studio,same,0,intra
172,174,OpenAI_Codex,OpenAI_Codex,sledigabel,sledigabel,1750775603.0,1752750303.0,1750775923.0,1756822144.0,merged,merged,False,1974380.0,355476462,Skyscanner/turbolift,same,1,intra
735,736,OpenAI_Codex,OpenAI_Codex,shiosyakeyakini-info,shiosyakeyakini-info,1750931419.0,1751189479.0,1750949359.0,1750949384.0,merged,merged,False,25.0,624615692,shiosyakeyakini-info/miria,same,0,intra
386,387,Copilot,Copilot,Copilot,Copilot,1760161049.0,1760168205.0,1760163505.0,1760168154.0,merged,merged,False,4649.0,929338255,groupultra/telegram-search,same,17,intra
1545,1547,Copilot,Copilot,Copilot,Copilot,1754588095.0,1754629012.0,1754588146.0,1754592304.0,closed_unmerged,merged,False,4158.0,23156260,CMB2/CMB2,same,0,intra
1379,1380,OpenAI_Codex,OpenAI_Codex,smorimoto,smorimoto,1756364498.0,1756366124.0,1756365050.0,1756366246.0,merged,merged,False,1074.0,233476269,acacode/swagger-typescript-api,same,0,intra
270,271,OpenAI_Codex,OpenAI_Codex,ltwlf,ltwlf,1750192604.0,1750194100.0,1750193368.0,1750194024.0,closed_unmerged,merged,False,656.0,224980941,ltwlf/json-diff-ts,same,0,intra
77,163,OpenAI_Codex,OpenAI_Codex,jjmata,jjmata,1754375445.0,1761314866.0,1758792367.0,1758793404.0,merged,merged,False,1037.0,1024661423,we-promise/sure,same,8,intra
1556,1559,OpenAI_Codex,OpenAI_Codex,alanlujan91,alanlujan91,1747686845.0,1747702770.0,1747687237.0,1747748678.0,merged,merged,False,15533.0,50448254,econ-ark/HARK,same,8,intra
3227,3230,Cursor,Cursor,fiftin,fiftin,1756048560.0,1758470823.0,1756051045.0,1758470825.0,closed_unmerged,closed_unmerged,False,2419778.0,23267883,semaphoreui/semaphore,same,3,intra
19941,19957,Copilot,Copilot,Copilot,Copilot,1755283251.0,1755520318.0,1755519822.0,1755523116.0,closed_unmerged,closed_unmerged,False,496.0,6899875,opf/openproject,same,0,intra
1162,1163,OpenAI_Codex,OpenAI_Codex,DTTerastar,DTTerastar,1749053647.0,1749144666.0,1749056508.0,1755647351.0,closed_unmerged,closed_unmerged,False,88158.0,570557896,ESPresense/ESPresense-companion,same,6,intra
2571,2573,OpenAI_Codex,OpenAI_Codex,weboko,weboko,1755638546.0,1755722975.0,1755638610.0,1755722927.0,closed_unmerged,closed_unmerged,False,84317.0,346526277,waku-org/js-waku,same,3,intra
238,239,Copilot,Copilot,Copilot,Copilot,1753107805.0,1753111054.0,1753107896.0,1753258784.0,merged,merged,False,3158.0,637405156,sgb-io/fta,same,0,intra
2709,2927,OpenAI_Codex,OpenAI_Codex,takenagain,CharlVS,1748466012.0,1754463582.0,1752591991.0,1752594416.0,closed_unmerged,closed_unmerged,False,2425.0,225880766,KomodoPlatform/komodo-wallet,same,597,intra
1821,1822,OpenAI_Codex,OpenAI_Codex,benfdking,benfdking,1752829336.0,1753304744.0,1752830882.0,1752834230.0,merged,closed_unmerged,False,3348.0,601303277,quarylabs/sqruff,same,5,intra
216,217,Copilot,Copilot,Copilot,Copilot,1756645159.0,1756646422.0,1756645209.0,1756647466.0,merged,merged,False,1213.0,275260119,kingstinct/react-native-healthkit,same,1,intra
31609,31621,OpenAI_Codex,OpenAI_Codex,AgentEnder,AgentEnder,1750092407.0,1752769130.0,1750172109.0,1752184051.0,merged,merged,False,2011942.0,100061716,nrwl/nx,same,20,intra
7813,7845,Cursor,Cursor,marcklingen,marcklingen,1752180818.0,1754239945.0,1752419498.0,1752420372.0,merged,merged,False,874.0,642497346,langfuse/langfuse,same,8,intra
32659,33446,Claude_Code,Claude_Code,spbolton,sfreudenthaler,1752580047.0,1760148108.0,1759715165.0,1760116392.0,closed_unmerged,merged,False,401227.0,3729629,dotCMS/core,same,49,intra
61219,61224,Cursor,Cursor,murphyatwork,murphyatwork,1753327770.0,1753616544.0,1753335423.0,1753352111.0,closed_unmerged,merged,False,16688.0,402945349,StarRocks/starrocks,same,0,intra
4914,4915,OpenAI_Codex,OpenAI_Codex,e5l,e5l,1749195586.0,1749199651.0,1749197474.0,1761298344.0,closed_unmerged,merged,False,2177.0,40136600,ktorio/ktor,same,0,intra
19743,19765,OpenAI_Codex,OpenAI_Codex,Jarred-Sumner,Jarred-Sumner,1747594706.0,1753000832.0,1747673754.0,1753000834.0,closed_unmerged,closed_unmerged,False,5327078.0,357728969,oven-sh/bun,same,9,intra
616,631,OpenAI_Codex,OpenAI_Codex,Rello,Rello,1752396674.0,1752844858.0,1752441024.0,1752523322.0,closed_unmerged,merged,False,82298.0,62162299,Rello/audioplayer,same,14,intra
212,223,OpenAI_Codex,OpenAI_Codex,KMKoushik,KMKoushik,1757064986.0,1757533017.0,1757502894.0,1757502924.0,merged,merged,False,30.0,772283421,usesend/useSend,same,4,intra
155686,160943,OpenAI_Codex,OpenAI_Codex,KAVYANSHTYAGI,ezyang,1749636930.0,1757514984.0,1755578638.0,1758223494.0,closed_unmerged,closed_unmerged,False,1936346.0,65600975,pytorch/pytorch,same,24,intra
6372,6375,OpenAI_Codex,OpenAI_Codex,katspaugh,katspaugh,1758634190.0,1758792895.0,1758722659.0,1758787080.0,merged,merged,False,64421.0,481196344,safe-global/safe-wallet-monorepo,same,27,intra
14731,14763,OpenAI_Codex,OpenAI_Codex,zanieb,charliermarsh,1752854611.0,1753091318.0,1753047251.0,1753047504.0,merged,merged,False,253.0,699532645,astral-sh/uv,same,1,intra
75,77,Copilot,Copilot,Copilot,Copilot,1755619644.0,1760051351.0,1755619723.0,1760049830.0,closed_unmerged,closed_unmerged,False,4430107.0,617290848,niieani/gpt-tokenizer,same,0,intra
2095,2097,OpenAI_Codex,OpenAI_Codex,mikel-brostrom,mikel-brostrom,1754329941.0,1754574858.0,1754500420.0,1754574884.0,closed_unmerged,closed_unmerged,False,74438.0,275118967,mikel-brostrom/boxmot,same,4,intra
26250,26252,Copilot,Copilot,Copilot,Copilot,1758818355.0,1758821692.0,1758820377.0,1759145755.0,closed_unmerged,merged,False,1315.0,626805178,langgenius/dify,same,6,intra
7428,7430,Cursor,Cursor,kevinmingtarja,kevinmingtarja,1759245202.0,1759245471.0,1759245294.0,1759245368.0,closed_unmerged,closed_unmerged,False,74.0,395140743,skypilot-org/skypilot,same,2,intra
3888,3898,Cursor,Cursor,ScriptedAlchemy,ScriptedAlchemy,1751908036.0,1753145198.0,1752264953.0,1752992588.0,closed_unmerged,merged,False,727635.0,306976345,module-federation/core,same,22,intra
357,359,OpenAI_Codex,OpenAI_Codex,jinek,jinek,1753960429.0,1754784116.0,1753960727.0,1754066281.0,merged,merged,False,105554.0,424594639,jinek/Consolonia,same,1,intra
70,86,Cursor,Cursor,R44VC0RP,R44VC0RP,1757119106.0,1759929848.0,1758204314.0,1759929852.0,closed_unmerged,closed_unmerged,False,1725534.0,989702246,inboundemail/inbound,same,196,intra
55017,55175,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1740855242.0,1741155309.0,1741026260.0,1741030146.0,closed_unmerged,merged,False,3886.0,283046497,airbytehq/airbyte,same,580,intra
