prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
109,110,Copilot,Cursor,Copilot,Mr-Quin,1755032438.0,1755315967.0,1755040082.0,1755316181.0,closed_unmerged,merged,True,275885.0,628067244,Mr-Quin/danmaku-anywhere,cross,0
1265,1277,Copilot,OpenAI_Codex,Copilot,yuyutaotao,1759146722.0,1759994815.0,1759498321.0,1760355297.0,merged,closed_unmerged,True,496494.0,832452447,web-infra-dev/midscene,cross,0
5263,5264,Claude_Code,Copilot,danyx23,Copilot,1755000400.0,1755807550.0,1755001973.0,1755078161.0,merged,merged,True,76188.0,35030133,owid/owid-grapher,cross,0
1761,1773,Claude_Code,Copilot,justin808,Copilot,1756960316.0,1758702121.0,1757463805.0,1757622732.0,closed_unmerged,merged,True,158927.0,41117523,shakacode/react_on_rails,cross,0
43,44,Copilot,OpenAI_Codex,Copilot,zemaj,1757128685.0,1757132357.0,1757132150.0,1757132342.0,closed_unmerged,merged,True,192.0,1035299828,just-every/code,cross,0
11128,11151,Copilot,Claude_Code,Copilot,delino[bot],1759065225.0,1761254334.0,1760876424.0,1760884267.0,closed_unmerged,merged,True,7843.0,115110181,swc-project/swc,cross,1
1809,1864,Cursor,Copilot,imbhargav5,Copilot,1752500879.0,1758439317.0,1756184286.0,1756187493.0,closed_unmerged,merged,True,3207.0,156734327,imbhargav5/rooks,cross,0
4921,4927,OpenAI_Codex,Copilot,caic99,Copilot,1756195587.0,1756265912.0,1756233054.0,1756802065.0,closed_unmerged,merged,True,32858.0,114006193,deepmodeling/deepmd-kit,cross,31
87,107,OpenAI_Codex,Copilot,bhauman,Copilot,1755538163.0,1759632056.0,1759247861.0,1759249577.0,closed_unmerged,merged,True,1716.0,957163661,bhauman/clojure-mcp,cross,1
567,568,Copilot,Cursor,Copilot,kentcdodds,1759252049.0,1759255827.0,1759252535.0,1759257492.0,closed_unmerged,merged,True,3292.0,320393623,kentcdodds/kentcdodds.com,cross,0
21940,22307,Cursor,Copilot,ShaileshParmar11,Copilot,1750834134.0,1758004777.0,1752251106.0,1760107450.0,closed_unmerged,merged,True,5753671.0,391740664,open-metadata/OpenMetadata,cross,2
5232,5546,Cursor,Copilot,wenxi-onyx,Copilot,1755749528.0,1759870189.0,1759202417.0,1759202449.0,closed_unmerged,closed_unmerged,True,32.0,633262635,onyx-dot-app/onyx,cross,3
10729,10823,Claude_Code,Cursor,robobun,anthonyshew,1754267524.0,1759270457.0,1756853239.0,1756905901.0,merged,merged,True,52662.0,413918947,vercel/turborepo,cross,0
1001,1227,OpenAI_Codex,Copilot,kolaente,Copilot,1750756048.0,1755009230.0,1754247128.0,1754253375.0,merged,merged,True,6247.0,159556794,go-vikunja/vikunja,cross,2
434,445,Cursor,Copilot,swingerman,Copilot,1759089702.0,1760303722.0,1760297293.0,1760299534.0,merged,merged,True,2241.0,294037465,swingerman/ha-dual-smart-thermostat,cross,2
1777,1778,Claude_Code,Copilot,delano,Copilot,1759607091.0,1759727633.0,1759607190.0,1759728457.0,merged,merged,True,120443.0,7913195,onetimesecret/onetimesecret,cross,0
3933,3945,OpenAI_Codex,Copilot,shai-almog,Copilot,1756571248.0,1758909259.0,1758853017.0,1758935332.0,merged,merged,True,56242.0,32973467,codenameone/CodenameOne,cross,2
2125,2131,Devin,OpenAI_Codex,devin-ai-integration[bot],AVGVSTVS96,1750209244.0,1751466464.0,1750318548.0,1751297094.0,closed_unmerged,closed_unmerged,True,978546.0,722184017,assistant-ui/assistant-ui,cross,5
2213,2221,Devin,Copilot,devin-ai-integration[bot],Copilot,1754069670.0,1754838465.0,1754492461.0,1754494519.0,closed_unmerged,closed_unmerged,True,2058.0,392768635,faros-ai/airbyte-connectors,cross,1
3582,3709,Copilot,OpenAI_Codex,Copilot,ReneWerner87,1752572617.0,1758713472.0,1756018382.0,1756018610.0,closed_unmerged,merged,True,228.0,234231371,gofiber/fiber,cross,35
1849,2049,Devin,OpenAI_Codex,devin-ai-integration[bot],Kitenite,1747373583.0,1750887762.0,1749081259.0,1749088284.0,closed_unmerged,merged,True,7025.0,820087727,onlook-dev/onlook,cross,6
8736,8779,Cursor,Copilot,abhiaiyer91,Copilot,1760146642.0,1760397188.0,1760362619.0,1760373549.0,closed_unmerged,merged,True,10930.0,839037098,mastra-ai/mastra,cross,0
10496,11090,Claude_Code,Copilot,shyim,Copilot,1749730771.0,1754929391.0,1752029242.0,1757570831.0,merged,closed_unmerged,True,2900149.0,131995661,shopware/shopware,cross,2
120,127,OpenAI_Codex,Copilot,jeremyfowers,Copilot,1754224772.0,1754581226.0,1754334567.0,1754342636.0,merged,merged,True,8069.0,984341155,lemonade-sdk/lemonade,cross,0
8579,8637,Copilot,OpenAI_Codex,Copilot,Rello,1755153271.0,1756217644.0,1755917626.0,1755917798.0,merged,closed_unmerged,True,172.0,105010691,nextcloud/desktop,cross,1
2675,2728,Copilot,Cursor,Copilot,callicles,1755726972.0,1758300234.0,1757279788.0,1758754334.0,closed_unmerged,closed_unmerged,True,1020446.0,668493044,514-labs/moosestack,cross,6
32,37,Copilot,OpenAI_Codex,Copilot,bmander,1752341599.0,1752442239.0,1752367054.0,1752378881.0,closed_unmerged,merged,True,11827.0,122162,bmander/graphserver,cross,2
984,1021,Copilot,Claude_Code,Copilot,MervinPraison,1752745075.0,1753318554.0,1752907802.0,1752914751.0,closed_unmerged,merged,True,6949.0,774497032,MervinPraison/PraisonAI,cross,0
9604,10949,Copilot,OpenAI_Codex,Copilot,apbodrov,1752746166.0,1761353390.0,1759219593.0,1759384299.0,closed_unmerged,closed_unmerged,True,164706.0,128479644,esphome/esphome,cross,0
557,577,Copilot,Cursor,Copilot,overtrue,1758158553.0,1758673427.0,1758624684.0,1758627540.0,merged,merged,True,2856.0,722597620,rustfs/rustfs,cross,0
191,460,Devin,OpenAI_Codex,devin-ai-integration[bot],keugenek,1747078672.0,1759243027.0,1758821217.0,1759242895.0,closed_unmerged,closed_unmerged,True,421678.0,913914262,appdotbuild/agent,cross,5
261,264,Copilot,OpenAI_Codex,Copilot,salbahra,1748892824.0,1749236115.0,1748904574.0,1749053301.0,closed_unmerged,merged,True,148727.0,11863336,OpenSprinkler/OpenSprinkler-App,cross,2
1236,1276,Copilot,Claude_Code,Copilot,Mossaka,1753826720.0,1759720569.0,1756413388.0,1756423463.0,closed_unmerged,merged,True,10075.0,587859813,project-copacetic/copacetic,cross,1
19779,19932,Copilot,Cursor,Copilot,matifali,1757604469.0,1759322774.0,1758697563.0,1758700555.0,closed_unmerged,closed_unmerged,True,2992.0,440752086,coder/coder,cross,3
10496,10500,Cursor,Copilot,ChiragAgg5k,Copilot,1757910718.0,1758548874.0,1757963494.0,1761172871.0,merged,merged,True,585380.0,180190854,appwrite/appwrite,cross,2
6214,6284,OpenAI_Codex,Cursor,steveruizok,steveruizok,1749421752.0,1750847305.0,1750329154.0,1750341080.0,closed_unmerged,merged,True,11926.0,365739812,tldraw/tldraw,cross,0
82409,82513,Cursor,Devin,devjiwonchoi,devin-ai-integration[bot],1754487887.0,1755025552.0,1754824185.0,1755026607.0,merged,closed_unmerged,True,201367.0,70107786,vercel/next.js,cross,0
5417,5459,Devin,Cursor,devin-ai-integration[bot],sedghi,1758240935.0,1759861747.0,1759526477.0,1759758045.0,merged,closed_unmerged,True,231568.0,44164233,OHIF/Viewers,cross,2
4284,4295,Devin,Copilot,devin-ai-integration[bot],Copilot,1760458784.0,1760565529.0,1760479831.0,1760497712.0,merged,closed_unmerged,True,17881.0,256628396,onflow/cadence,cross,11
97,114,OpenAI_Codex,Copilot,JeanMeijer,Copilot,1755478667.0,1756028724.0,1755683685.0,1755684827.0,merged,closed_unmerged,True,1142.0,889274685,usemarble/marble,cross,0
112,113,OpenAI_Codex,Copilot,ultmaster,Copilot,1755497425.0,1755502286.0,1755497845.0,1755500286.0,closed_unmerged,merged,True,2441.0,895926919,microsoft/poml,cross,0
5458,5459,OpenAI_Codex,Copilot,hmottestad,Copilot,1759083979.0,1759085525.0,1759084402.0,1759085496.0,merged,closed_unmerged,True,1094.0,49670957,eclipse-rdf4j/rdf4j,cross,0
538,539,Copilot,OpenAI_Codex,Copilot,Rello,1755481286.0,1757950796.0,1755686873.0,1757770183.0,closed_unmerged,closed_unmerged,True,2083310.0,213728552,Rello/analytics,cross,3
5616,5617,Cursor,Copilot,jdx,Copilot,1752447402.0,1752457674.0,1752450067.0,1752452470.0,merged,closed_unmerged,True,2403.0,586920414,jdx/mise,cross,1
521,528,Copilot,OpenAI_Codex,Copilot,sfmskywalker,1748065899.0,1751617201.0,1748335542.0,1748335661.0,closed_unmerged,merged,True,119.0,622646426,elsa-workflows/elsa-studio,cross,2
174,176,OpenAI_Codex,Copilot,sledigabel,Copilot,1750775923.0,1756822144.0,1752750458.0,1752754982.0,merged,merged,True,4524.0,355476462,Skyscanner/turbolift,cross,1
761,767,OpenAI_Codex,Copilot,shiosyakeyakini-info,Copilot,1751335237.0,1751780930.0,1751363922.0,1751771628.0,merged,merged,True,407706.0,624615692,shiosyakeyakini-info/miria,cross,1
356,381,OpenAI_Codex,Copilot,luoling8192,Copilot,1758106546.0,1760431461.0,1759678543.0,1759681068.0,closed_unmerged,merged,True,2525.0,929338255,groupultra/telegram-search,cross,0
1545,1548,Copilot,Claude_Code,Copilot,jtsternberg,1754588095.0,1754629012.0,1754623788.0,1754628970.0,closed_unmerged,merged,True,5182.0,23156260,CMB2/CMB2,cross,0
1371,1378,Copilot,OpenAI_Codex,Copilot,smorimoto,1756134250.0,1756363343.0,1756363127.0,1756363302.0,closed_unmerged,merged,True,175.0,233476269,acacode/swagger-typescript-api,cross,1
319,321,OpenAI_Codex,Copilot,ltwlf,Copilot,1754374348.0,1754466258.0,1754382825.0,1754466218.0,closed_unmerged,closed_unmerged,True,83393.0,224980941,ltwlf/json-diff-ts,cross,1
230,233,Copilot,OpenAI_Codex,Copilot,jjmata,1761314719.0,1761423809.0,1761322194.0,1761323113.0,merged,closed_unmerged,True,919.0,1024661423,we-promise/sure,cross,3
1581,1592,Copilot,Cursor,Copilot,alanlujan91,1753365665.0,1760106344.0,1754703991.0,1760106329.0,merged,merged,True,5402338.0,50448254,econ-ark/HARK,cross,0
3227,3254,Cursor,Copilot,fiftin,Copilot,1756048560.0,1758470823.0,1756563590.0,1756569997.0,closed_unmerged,merged,True,6407.0,23267883,semaphoreui/semaphore,cross,4
19925,19941,Cursor,Copilot,Eric-Guo,Copilot,1755176386.0,1755585646.0,1755283251.0,1755520318.0,merged,closed_unmerged,True,237067.0,6899875,opf/openproject,cross,0
1227,1248,OpenAI_Codex,Copilot,DTTerastar,Copilot,1755649383.0,1757543364.0,1757343376.0,1757383173.0,closed_unmerged,closed_unmerged,True,39797.0,570557896,ESPresense/ESPresense-companion,cross,1
2447,2572,Copilot,OpenAI_Codex,Copilot,weboko,1751805881.0,1755857784.0,1755638587.0,1755857593.0,closed_unmerged,closed_unmerged,True,219006.0,346526277,waku-org/js-waku,cross,1
236,241,OpenAI_Codex,Copilot,sgb-io,Copilot,1753104881.0,1753112591.0,1753109589.0,1753111678.0,closed_unmerged,merged,True,2089.0,637405156,sgb-io/fta,cross,3
2792,3069,OpenAI_Codex,Cursor,CharlVS,CharlVS,1750173668.0,1758815596.0,1755025591.0,1755105133.0,merged,merged,True,79542.0,225880766,KomodoPlatform/komodo-wallet,cross,23
1643,1706,OpenAI_Codex,Claude_Code,benfdking,fank,1749734734.0,1751016525.0,1751006660.0,1751169307.0,merged,closed_unmerged,True,9865.0,601303277,quarylabs/sqruff,cross,1
183,184,Copilot,OpenAI_Codex,Copilot,robertherber,1752760420.0,1752763997.0,1752761379.0,1752766001.0,closed_unmerged,merged,True,2618.0,275260119,kingstinct/react-native-healthkit,cross,0
31591,32088,OpenAI_Codex,Claude_Code,AgentEnder,ndcunningham,1749853783.0,1755724769.0,1753459110.0,1754574374.0,closed_unmerged,merged,True,1115264.0,100061716,nrwl/nx,cross,0
9349,9486,OpenAI_Codex,Cursor,sfarthin,FroeMic,1758805844.0,1760000183.0,1759394261.0,1759400493.0,merged,merged,True,6232.0,642497346,langfuse/langfuse,cross,7
2563,2565,Copilot,OpenAI_Codex,Copilot,aaguiarz,1752669000.0,1752675101.0,1752674583.0,1753104628.0,closed_unmerged,merged,True,518.0,501372599,openfga/openfga,cross,0
32659,33189,Claude_Code,Copilot,spbolton,Copilot,1752580047.0,1760148108.0,1756991379.0,1756993646.0,closed_unmerged,closed_unmerged,True,2267.0,3729629,dotCMS/core,cross,4
61965,62136,Cursor,Copilot,murphyatwork,Copilot,1755230096.0,1756263815.0,1755675131.0,1755679387.0,merged,merged,True,4256.0,402945349,StarRocks/starrocks,cross,1
4915,5128,OpenAI_Codex,Copilot,e5l,Copilot,1749197474.0,1761298344.0,1760694093.0,1760701281.0,merged,closed_unmerged,True,7188.0,40136600,ktorio/ktor,cross,0
19998,20217,OpenAI_Codex,Cursor,Jarred-Sumner,Jarred-Sumner,1748491789.0,1753000763.0,1749168611.0,1749171850.0,closed_unmerged,closed_unmerged,True,3239.0,357728969,oven-sh/bun,cross,182
250,254,Copilot,OpenAI_Codex,Copilot,cf-pages,1752702636.0,1761154752.0,1755227713.0,1755237068.0,closed_unmerged,merged,True,9355.0,560101664,cf-pages/Telegraph-Image,cross,1
641,642,Copilot,OpenAI_Codex,Copilot,Rello,1760115859.0,1760321697.0,1760321473.0,1760321659.0,closed_unmerged,merged,True,186.0,62162299,Rello/audioplayer,cross,1
232,259,Copilot,OpenAI_Codex,Copilot,KMKoushik,1757969385.0,1759087595.0,1758916364.0,1758930014.0,closed_unmerged,merged,True,13650.0,772283421,usesend/useSend,cross,7
155686,159364,OpenAI_Codex,Copilot,KAVYANSHTYAGI,Copilot,1749636930.0,1757514984.0,1753799501.0,1753802120.0,closed_unmerged,closed_unmerged,True,2619.0,65600975,pytorch/pytorch,cross,7
6340,6373,Cursor,OpenAI_Codex,gfendres,katspaugh,1757409720.0,1759414076.0,1758634901.0,1758702400.0,closed_unmerged,merged,True,67499.0,481196344,safe-global/safe-wallet-monorepo,cross,12
1758,1761,Copilot,Claude_Code,Copilot,mdesmet,1760578451.0,1760961627.0,1760861934.0,1760953612.0,closed_unmerged,merged,True,91678.0,288509390,AltimateAI/vscode-dbt-power-user,cross,0
14731,14738,OpenAI_Codex,Copilot,zanieb,Copilot,1752854611.0,1753091318.0,1752862643.0,1753191165.0,merged,merged,True,228675.0,699532645,astral-sh/uv,cross,0
75,79,Copilot,OpenAI_Codex,Copilot,niieani,1755619644.0,1760051351.0,1760047068.0,1760049852.0,closed_unmerged,merged,True,2784.0,617290848,niieani/gpt-tokenizer,cross,0
