prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index,sample,pair_key
26,28,OpenAI_Codex,OpenAI_Codex,cpetersen,cpetersen,1752680979.0,1752722195.0,1752681035.0,1752681072.0,merged,merged,False,37.0,677673846,scientist-labs/red-candle,same,1,s1_intra,scientist-labs/red-candle#26#28
27,28,OpenAI_Codex,OpenAI_Codex,cpetersen,cpetersen,1752681003.0,1752681107.0,1752681035.0,1752681072.0,merged,merged,False,37.0,677673846,scientist-labs/red-candle,same,2,s1_intra,scientist-labs/red-candle#27#28
781,809,Copilot,Copilot,Copilot,Copilot,1758028938.0,1760381113.0,1758550217.0,1758555529.0,closed_unmerged,closed_unmerged,False,5312.0,946174307,modelcontextprotocol/csharp-sdk,same,6,s1_intra,modelcontextprotocol/csharp-sdk#781#809
854,857,Copilot,Copilot,Copilot,Copilot,1760369327.0,1760380971.0,1760380365.0,1760706174.0,merged,merged,False,606.0,946174307,modelcontextprotocol/csharp-sdk,same,12,s1_intra,modelcontextprotocol/csharp-sdk#854#857
857,858,Copilot,Copilot,Copilot,Copilot,1760380365.0,1760706174.0,1760381141.0,1760406727.0,merged,merged,False,25586.0,946174307,modelcontextprotocol/csharp-sdk,same,13,s1_intra,modelcontextprotocol/csharp-sdk#857#858
857,862,Copilot,Copilot,Copilot,Copilot,1760380365.0,1760706174.0,1760420112.0,1760451872.0,merged,merged,False,31760.0,946174307,modelcontextprotocol/csharp-sdk,same,14,s1_intra,modelcontextprotocol/csharp-sdk#857#862
857,881,Copilot,Copilot,Copilot,Copilot,1760380365.0,1760706174.0,1760635266.0,1760635387.0,merged,closed_unmerged,False,121.0,946174307,modelcontextprotocol/csharp-sdk,same,21,s1_intra,modelcontextprotocol/csharp-sdk#857#881
109,110,Claude_Code,Claude_Code,michaeloboyle,michaeloboyle,1758061785.0,1758226013.0,1758225968.0,1760049568.0,closed_unmerged,closed_unmerged,False,45.0,931506474,splx-ai/agentic-radar,same,0,s1_intra,splx-ai/agentic-radar#109#110
3134,3140,Copilot,Copilot,Copilot,Copilot,1760852477.0,1760939148.0,1760855229.0,1761178337.0,merged,merged,False,83919.0,404144554,chaiNNer-org/chaiNNer,same,16,s1_intra,chaiNNer-org/chaiNNer#3134#3140
3135,3144,Copilot,Copilot,Copilot,Copilot,1760852542.0,1761249937.0,1760857019.0,1761111776.0,merged,closed_unmerged,False,254757.0,404144554,chaiNNer-org/chaiNNer,same,26,s1_intra,chaiNNer-org/chaiNNer#3135#3144
3138,3153,Copilot,Copilot,Copilot,Copilot,1760855035.0,1761264502.0,1760939714.0,1761083658.0,closed_unmerged,merged,False,143944.0,404144554,chaiNNer-org/chaiNNer,same,60,s1_intra,chaiNNer-org/chaiNNer#3138#3153
3141,3144,Copilot,Copilot,Copilot,Copilot,1760855326.0,1760901698.0,1760857019.0,1761111776.0,merged,closed_unmerged,False,44679.0,404144554,chaiNNer-org/chaiNNer,same,77,s1_intra,chaiNNer-org/chaiNNer#3141#3144
3144,3146,Copilot,Copilot,Copilot,Copilot,1760857019.0,1761111776.0,1760857097.0,1761112700.0,closed_unmerged,closed_unmerged,False,254679.0,404144554,chaiNNer-org/chaiNNer,same,79,s1_intra,chaiNNer-org/chaiNNer#3144#3146
502,503,OpenAI_Codex,OpenAI_Codex,PotatoOfDoom,PotatoOfDoom,1749225780.0,1749229893.0,1749225821.0,1749229879.0,merged,merged,False,4058.0,728625849,optiscaler/OptiScaler,same,0,s1_intra,optiscaler/OptiScaler#502#503
502,504,OpenAI_Codex,OpenAI_Codex,PotatoOfDoom,PotatoOfDoom,1749225780.0,1749229893.0,1749225982.0,1749498465.0,merged,merged,False,3911.0,728625849,optiscaler/OptiScaler,same,1,s1_intra,optiscaler/OptiScaler#502#504
503,504,OpenAI_Codex,OpenAI_Codex,PotatoOfDoom,PotatoOfDoom,1749225821.0,1749229879.0,1749225982.0,1749498465.0,merged,merged,False,3897.0,728625849,optiscaler/OptiScaler,same,2,s1_intra,optiscaler/OptiScaler#503#504
14506,14536,Copilot,Copilot,Copilot,Copilot,1758189895.0,1758708018.0,1758646481.0,1760420331.0,merged,merged,False,61537.0,175425051,kumahq/kuma,same,0,s1_intra,kumahq/kuma#14506#14536
14506,14538,Copilot,Copilot,Copilot,Copilot,1758189895.0,1758708018.0,1758657849.0,1758723649.0,merged,merged,False,50169.0,175425051,kumahq/kuma,same,1,s1_intra,kumahq/kuma#14506#14538
14536,14538,Copilot,Copilot,Copilot,Copilot,1758646481.0,1760420331.0,1758657849.0,1758723649.0,merged,merged,False,65800.0,175425051,kumahq/kuma,same,2,s1_intra,kumahq/kuma#14536#14538
2884,2894,OpenAI_Codex,OpenAI_Codex,mtrezza,mtrezza,1752075876.0,1753370522.0,1752312539.0,1752313584.0,closed_unmerged,closed_unmerged,False,1045.0,50623416,parse-community/parse-dashboard,same,10,s1_intra,parse-community/parse-dashboard#2884#2894
2884,2909,OpenAI_Codex,OpenAI_Codex,mtrezza,mtrezza,1752075876.0,1753370522.0,1752672759.0,1752703253.0,closed_unmerged,merged,False,30494.0,50623416,parse-community/parse-dashboard,same,20,s1_intra,parse-community/parse-dashboard#2884#2909
2884,2919,OpenAI_Codex,OpenAI_Codex,mtrezza,mtrezza,1752075876.0,1753370522.0,1752757654.0,1753363365.0,closed_unmerged,closed_unmerged,False,605711.0,50623416,parse-community/parse-dashboard,same,26,s1_intra,parse-community/parse-dashboard#2884#2919
2884,2925,OpenAI_Codex,OpenAI_Codex,mtrezza,mtrezza,1752075876.0,1753370522.0,1752884865.0,1752892501.0,closed_unmerged,merged,False,7636.0,50623416,parse-community/parse-dashboard,same,28,s1_intra,parse-community/parse-dashboard#2884#2925
2888,2896,OpenAI_Codex,OpenAI_Codex,mtrezza,mtrezza,1752143414.0,1752369070.0,1752318928.0,1752318992.0,merged,merged,False,64.0,50623416,parse-community/parse-dashboard,same,41,s1_intra,parse-community/parse-dashboard#2888#2896
31,32,Copilot,Copilot,Copilot,Copilot,1754138076.0,1754156353.0,1754145133.0,1754156340.0,closed_unmerged,closed_unmerged,False,11207.0,212054478,pine-vm/pine,same,0,s1_intra,pine-vm/pine#31#32
34,35,Copilot,Copilot,Copilot,Copilot,1754740363.0,1754807017.0,1754740572.0,1754807031.0,closed_unmerged,closed_unmerged,False,66445.0,212054478,pine-vm/pine,same,1,s1_intra,pine-vm/pine#34#35
1479,1481,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1740629366.0,1744588357.0,1740641938.0,1741213494.0,closed_unmerged,merged,False,571556.0,820087727,onlook-dev/onlook,same,186,s1_intra,onlook-dev/onlook#1479#1481
1479,1742,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1740629366.0,1744588357.0,1743981347.0,1744588245.0,closed_unmerged,closed_unmerged,False,606898.0,820087727,onlook-dev/onlook,same,210,s1_intra,onlook-dev/onlook#1479#1742
1859,1876,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747441078.0,1747699192.0,1747672277.0,1747699126.0,closed_unmerged,closed_unmerged,False,26849.0,820087727,onlook-dev/onlook,same,379,s1_intra,onlook-dev/onlook#1859#1876
2729,2742,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1755897535.0,1756850147.0,1756042124.0,1756062614.0,closed_unmerged,merged,False,20490.0,820087727,onlook-dev/onlook,same,468,s1_intra,onlook-dev/onlook#2729#2742
2744,2748,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1756049677.0,1756063453.0,1756055108.0,1756850147.0,merged,closed_unmerged,False,8345.0,820087727,onlook-dev/onlook,same,494,s1_intra,onlook-dev/onlook#2744#2748
1592,1596,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747086840.0,1747393625.0,1747152535.0,1752627561.0,merged,closed_unmerged,False,241090.0,386644013,freenet/freenet-core,same,3,s1_intra,freenet/freenet-core#1592#1596
1592,1598,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747086840.0,1747393625.0,1747174911.0,1747179216.0,merged,closed_unmerged,False,4305.0,386644013,freenet/freenet-core,same,4,s1_intra,freenet/freenet-core#1592#1598
1593,1598,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747091623.0,1747393670.0,1747174911.0,1747179216.0,closed_unmerged,closed_unmerged,False,4305.0,386644013,freenet/freenet-core,same,9,s1_intra,freenet/freenet-core#1593#1598
1593,1600,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747091623.0,1747393670.0,1747175017.0,1747179217.0,closed_unmerged,closed_unmerged,False,4200.0,386644013,freenet/freenet-core,same,11,s1_intra,freenet/freenet-core#1593#1600
1596,1599,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747152535.0,1752627561.0,1747174991.0,1747179217.0,closed_unmerged,closed_unmerged,False,4226.0,386644013,freenet/freenet-core,same,17,s1_intra,freenet/freenet-core#1596#1599
7410,7440,Copilot,Copilot,Copilot,Copilot,1760295162.0,1760678390.0,1760304903.0,1760323360.0,merged,merged,False,18457.0,30856851,ChurchCRM/CRM,same,47,s1_intra,ChurchCRM/CRM#7410#7440
7414,7440,Copilot,Copilot,Copilot,Copilot,1760295453.0,1760675246.0,1760304903.0,1760323360.0,merged,merged,False,18457.0,30856851,ChurchCRM/CRM,same,128,s1_intra,ChurchCRM/CRM#7414#7440
7418,7422,Copilot,Copilot,Copilot,Copilot,1760295608.0,1760824688.0,1760295731.0,1760824201.0,merged,closed_unmerged,False,528470.0,30856851,ChurchCRM/CRM,same,164,s1_intra,ChurchCRM/CRM#7418#7422
7421,7426,Copilot,Copilot,Copilot,Copilot,1760295678.0,1761431754.0,1760295828.0,1760323446.0,closed_unmerged,merged,False,27618.0,30856851,ChurchCRM/CRM,same,195,s1_intra,ChurchCRM/CRM#7421#7426
7431,7437,Copilot,Copilot,Copilot,Copilot,1760295954.0,1760820720.0,1760299217.0,1760338067.0,merged,merged,False,38850.0,30856851,ChurchCRM/CRM,same,275,s1_intra,ChurchCRM/CRM#7431#7437
24,25,OpenAI_Codex,OpenAI_Codex,Sls0n,Sls0n,1749718837.0,1749718912.0,1749718852.0,1749718924.0,merged,merged,False,60.0,663834147,Sls0n/Prismify,same,0,s1_intra,Sls0n/Prismify#24#25
26,27,OpenAI_Codex,OpenAI_Codex,Sls0n,Sls0n,1749723838.0,1749729817.0,1749727810.0,1749727821.0,closed_unmerged,merged,False,11.0,663834147,Sls0n/Prismify,same,1,s1_intra,Sls0n/Prismify#26#27
26,28,OpenAI_Codex,OpenAI_Codex,Sls0n,Sls0n,1749723838.0,1749729817.0,1749729068.0,1749729741.0,closed_unmerged,merged,False,673.0,663834147,Sls0n/Prismify,same,2,s1_intra,Sls0n/Prismify#26#28
39,41,OpenAI_Codex,OpenAI_Codex,Sls0n,Sls0n,1750604499.0,1751743131.0,1751059270.0,1751714709.0,merged,closed_unmerged,False,655439.0,663834147,Sls0n/Prismify,same,3,s1_intra,Sls0n/Prismify#39#41
1451,1453,Copilot,Copilot,Copilot,Copilot,1760204453.0,1760211976.0,1760211308.0,1760307232.0,merged,merged,False,668.0,137444487,mwouts/jupytext,same,0,s1_intra,mwouts/jupytext#1451#1453
1453,1454,Copilot,Copilot,Copilot,Copilot,1760211308.0,1760307232.0,1760297567.0,1760300050.0,merged,merged,False,2483.0,137444487,mwouts/jupytext,same,1,s1_intra,mwouts/jupytext#1453#1454
212,213,OpenAI_Codex,OpenAI_Codex,SimonHalvdansson,SimonHalvdansson,1749062316.0,1749452497.0,1749062349.0,1749452314.0,merged,merged,False,389965.0,644499668,SimonHalvdansson/Harmonic-HN,same,0,s1_intra,SimonHalvdansson/Harmonic-HN#212#213
212,215,OpenAI_Codex,OpenAI_Codex,SimonHalvdansson,SimonHalvdansson,1749062316.0,1749452497.0,1749452015.0,1749452350.0,merged,merged,False,335.0,644499668,SimonHalvdansson/Harmonic-HN,same,1,s1_intra,SimonHalvdansson/Harmonic-HN#212#215
213,215,OpenAI_Codex,OpenAI_Codex,SimonHalvdansson,SimonHalvdansson,1749062349.0,1749452314.0,1749452015.0,1749452350.0,merged,merged,False,299.0,644499668,SimonHalvdansson/Harmonic-HN,same,2,s1_intra,SimonHalvdansson/Harmonic-HN#213#215
217,218,OpenAI_Codex,OpenAI_Codex,SimonHalvdansson,SimonHalvdansson,1749485861.0,1749718483.0,1749499452.0,1749499484.0,merged,merged,False,32.0,644499668,SimonHalvdansson/Harmonic-HN,same,3,s1_intra,SimonHalvdansson/Harmonic-HN#217#218
1237,1241,Copilot,Copilot,Copilot,Copilot,1755737319.0,1757178225.0,1755737365.0,1757260026.0,merged,merged,False,1440860.0,390774973,OpenWonderLabs/homebridge-switchbot,same,3,s1_intra,OpenWonderLabs/homebridge-switchbot#1237#1241
1237,1262,Copilot,Copilot,Copilot,Copilot,1755737319.0,1757178225.0,1755752806.0,1755754088.0,merged,merged,False,1282.0,390774973,OpenWonderLabs/homebridge-switchbot,same,4,s1_intra,OpenWonderLabs/homebridge-switchbot#1237#1262
1241,1262,Copilot,Copilot,Copilot,Copilot,1755737365.0,1757260026.0,1755752806.0,1755754088.0,merged,merged,False,1282.0,390774973,OpenWonderLabs/homebridge-switchbot,same,10,s1_intra,OpenWonderLabs/homebridge-switchbot#1241#1262
1241,1264,Copilot,Copilot,Copilot,Copilot,1755737365.0,1757260026.0,1756007146.0,1756095704.0,merged,merged,False,88558.0,390774973,OpenWonderLabs/homebridge-switchbot,same,11,s1_intra,OpenWonderLabs/homebridge-switchbot#1241#1264
1268,1270,Copilot,Copilot,Copilot,Copilot,1756134797.0,1756309716.0,1756304260.0,1756334820.0,merged,merged,False,5456.0,390774973,OpenWonderLabs/homebridge-switchbot,same,16,s1_intra,OpenWonderLabs/homebridge-switchbot#1268#1270
178,179,OpenAI_Codex,OpenAI_Codex,NotJeremyLiu,NotJeremyLiu,1747965309.0,1748026044.0,1747966355.0,1753115089.0,merged,merged,False,59689.0,950515906,cosmos/evm,same,0,s1_intra,cosmos/evm#178#179
628,630,Copilot,Copilot,Copilot,Copilot,1753339177.0,1753692941.0,1753339266.0,1753692956.0,merged,merged,False,353675.0,285679939,microsoft/react-native-gallery,same,0,s1_intra,microsoft/react-native-gallery#628#630
694,697,Copilot,Copilot,Copilot,Copilot,1759215876.0,1759217634.0,1759216209.0,1759303745.0,closed_unmerged,merged,False,1425.0,285679939,microsoft/react-native-gallery,same,9,s1_intra,microsoft/react-native-gallery#694#697
694,700,Copilot,Copilot,Copilot,Copilot,1759215876.0,1759217634.0,1759216471.0,1759288445.0,closed_unmerged,merged,False,1163.0,285679939,microsoft/react-native-gallery,same,10,s1_intra,microsoft/react-native-gallery#694#700
697,700,Copilot,Copilot,Copilot,Copilot,1759216209.0,1759303745.0,1759216471.0,1759288445.0,merged,merged,False,71974.0,285679939,microsoft/react-native-gallery,same,13,s1_intra,microsoft/react-native-gallery#697#700
733,735,Copilot,Copilot,Copilot,Copilot,1760416445.0,1760422958.0,1760416619.0,1760430257.0,merged,merged,False,6339.0,285679939,microsoft/react-native-gallery,same,14,s1_intra,microsoft/react-native-gallery#733#735
298,299,OpenAI_Codex,OpenAI_Codex,jilleb,jilleb,1751549119.0,1751549867.0,1751549765.0,1751549851.0,merged,merged,False,86.0,209376972,jilleb/mib2-toolbox,same,0,s1_intra,jilleb/mib2-toolbox#298#299
4155,4156,OpenAI_Codex,OpenAI_Codex,voodoohop,voodoohop,1758680066.0,1758681287.0,1758680134.0,1758683572.0,closed_unmerged,merged,False,1153.0,358226004,pollinations/pollinations,same,0,s1_intra,pollinations/pollinations#4155#4156
4191,4192,OpenAI_Codex,OpenAI_Codex,voodoohop,voodoohop,1758874031.0,1758874944.0,1758874171.0,1758874288.0,merged,merged,False,117.0,358226004,pollinations/pollinations,same,1,s1_intra,pollinations/pollinations#4191#4192
4191,4193,OpenAI_Codex,OpenAI_Codex,voodoohop,voodoohop,1758874031.0,1758874944.0,1758874230.0,1758874308.0,merged,closed_unmerged,False,78.0,358226004,pollinations/pollinations,same,2,s1_intra,pollinations/pollinations#4191#4193
4192,4193,OpenAI_Codex,OpenAI_Codex,voodoohop,voodoohop,1758874171.0,1758874288.0,1758874230.0,1758874308.0,merged,closed_unmerged,False,58.0,358226004,pollinations/pollinations,same,3,s1_intra,pollinations/pollinations#4192#4193
1887,1888,Copilot,Copilot,Copilot,Copilot,1759861788.0,1759864907.0,1759864432.0,1760475865.0,closed_unmerged,merged,False,475.0,248361164,PowerShell/PSResourceGet,same,0,s1_intra,PowerShell/PSResourceGet#1887#1888
1888,1889,Copilot,Copilot,Copilot,Copilot,1759864432.0,1760475865.0,1759865164.0,1760565516.0,merged,merged,False,610701.0,248361164,PowerShell/PSResourceGet,same,1,s1_intra,PowerShell/PSResourceGet#1888#1889
1888,1893,Copilot,Copilot,Copilot,Copilot,1759864432.0,1760475865.0,1759950620.0,1760983134.0,merged,closed_unmerged,False,525245.0,248361164,PowerShell/PSResourceGet,same,4,s1_intra,PowerShell/PSResourceGet#1888#1893
1889,1891,Copilot,Copilot,Copilot,Copilot,1759865164.0,1760565516.0,1759948185.0,1760476548.0,merged,merged,False,528363.0,248361164,PowerShell/PSResourceGet,same,6,s1_intra,PowerShell/PSResourceGet#1889#1891
1890,1891,Copilot,Copilot,Copilot,Copilot,1759948050.0,1759948503.0,1759948185.0,1760476548.0,closed_unmerged,merged,False,318.0,248361164,PowerShell/PSResourceGet,same,8,s1_intra,PowerShell/PSResourceGet#1890#1891
89,90,OpenAI_Codex,OpenAI_Codex,nguyenvanduocit,nguyenvanduocit,1749116198.0,1749116437.0,1749116216.0,1749116306.0,merged,merged,False,90.0,577394553,nguyenvanduocit/obsidian-open-gate,same,0,s1_intra,nguyenvanduocit/obsidian-open-gate#89#90
89,91,OpenAI_Codex,OpenAI_Codex,nguyenvanduocit,nguyenvanduocit,1749116198.0,1749116437.0,1749116230.0,1749116383.0,merged,merged,False,153.0,577394553,nguyenvanduocit/obsidian-open-gate,same,1,s1_intra,nguyenvanduocit/obsidian-open-gate#89#91
90,91,OpenAI_Codex,OpenAI_Codex,nguyenvanduocit,nguyenvanduocit,1749116216.0,1749116306.0,1749116230.0,1749116383.0,merged,merged,False,76.0,577394553,nguyenvanduocit/obsidian-open-gate,same,2,s1_intra,nguyenvanduocit/obsidian-open-gate#90#91
217,219,Copilot,Copilot,Copilot,Copilot,1757789359.0,1757881398.0,1757789875.0,1757833868.0,closed_unmerged,merged,False,43993.0,959123498,IvanMurzak/Unity-MCP,same,0,s1_intra,IvanMurzak/Unity-MCP#217#219
217,222,Copilot,Copilot,Copilot,Copilot,1757789359.0,1757881398.0,1757844560.0,1757881273.0,closed_unmerged,merged,False,36713.0,959123498,IvanMurzak/Unity-MCP,same,1,s1_intra,IvanMurzak/Unity-MCP#217#222
183,184,Cursor,Cursor,nhanphan,nhanphan,1754435555.0,1756426084.0,1754435585.0,1756426110.0,merged,merged,False,1990499.0,600071289,metaplex-foundation/umi,same,0,s1_intra,metaplex-foundation/umi#183#184
4750,4812,Copilot,Copilot,Copilot,Copilot,1752504187.0,1757360566.0,1754184798.0,1755546786.0,closed_unmerged,merged,False,1361988.0,509028,benwbrum/fromthepage,same,33,s1_intra,benwbrum/fromthepage#4750#4812
4807,4809,Copilot,Copilot,Copilot,Copilot,1754182567.0,1754192771.0,1754184314.0,1754187982.0,merged,closed_unmerged,False,3668.0,509028,benwbrum/fromthepage,same,204,s1_intra,benwbrum/fromthepage#4807#4809
4807,4813,Copilot,Copilot,Copilot,Copilot,1754182567.0,1754192771.0,1754185405.0,1754192832.0,merged,merged,False,7366.0,509028,benwbrum/fromthepage,same,208,s1_intra,benwbrum/fromthepage#4807#4813
4842,4909,Copilot,Copilot,Copilot,Copilot,1755524597.0,1758826865.0,1758120758.0,1758145150.0,merged,merged,False,24392.0,509028,benwbrum/fromthepage,same,296,s1_intra,benwbrum/fromthepage#4842#4909
4934,4936,Copilot,Copilot,Copilot,Copilot,1758973366.0,1758980893.0,1758973669.0,1759153620.0,closed_unmerged,merged,False,7224.0,509028,benwbrum/fromthepage,same,371,s1_intra,benwbrum/fromthepage#4934#4936
3034,3037,Copilot,Copilot,Copilot,Copilot,1758309278.0,1760387465.0,1758310738.0,1760387532.0,merged,merged,False,2076727.0,374764410,dotnet/docs-maui,same,0,s1_intra,dotnet/docs-maui#3034#3037
12327,12389,Copilot,Copilot,Copilot,Copilot,1756763334.0,1760130348.0,1758138158.0,1759939378.0,merged,merged,False,1801220.0,14111770,openfoodfacts/openfoodfacts-server,same,3,s1_intra,openfoodfacts/openfoodfacts-server#12327#12389
12327,12390,Copilot,Copilot,Copilot,Copilot,1756763334.0,1760130348.0,1758179808.0,1759407636.0,merged,merged,False,1227828.0,14111770,openfoodfacts/openfoodfacts-server,same,4,s1_intra,openfoodfacts/openfoodfacts-server#12327#12390
12327,12457,Copilot,Copilot,Copilot,Copilot,1756763334.0,1760130348.0,1759480579.0,1760717584.0,merged,merged,False,649769.0,14111770,openfoodfacts/openfoodfacts-server,same,6,s1_intra,openfoodfacts/openfoodfacts-server#12327#12457
12327,12464,Copilot,Copilot,Copilot,Copilot,1756763334.0,1760130348.0,1759760077.0,1759765443.0,merged,closed_unmerged,False,5366.0,14111770,openfoodfacts/openfoodfacts-server,same,7,s1_intra,openfoodfacts/openfoodfacts-server#12327#12464
12390,12398,Copilot,Copilot,Copilot,Copilot,1758179808.0,1759407636.0,1758210899.0,1758269952.0,merged,merged,False,59053.0,14111770,openfoodfacts/openfoodfacts-server,same,15,s1_intra,openfoodfacts/openfoodfacts-server#12390#12398
2964,2965,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747210482.0,1747291686.0,1747288266.0,1747288899.0,closed_unmerged,closed_unmerged,False,633.0,195619075,vdaas/vald,same,0,s1_intra,vdaas/vald#2964#2965
2969,2977,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747353087.0,1748495495.0,1747629027.0,1747720474.0,merged,merged,False,91447.0,195619075,vdaas/vald,same,4,s1_intra,vdaas/vald#2969#2977
2970,2977,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747376973.0,1747718848.0,1747629027.0,1747720474.0,closed_unmerged,merged,False,89821.0,195619075,vdaas/vald,same,9,s1_intra,vdaas/vald#2970#2977
