prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
3106,3108,OpenAI_Codex,Copilot,julien-c,Copilot,1748012349.0,1749026081.0,1748022911.0,1748355351.0,closed_unmerged,closed_unmerged,True,332440.0,323591830,huggingface/huggingface_hub,cross,1
3106,3109,OpenAI_Codex,Copilot,julien-c,Copilot,1748012349.0,1749026081.0,1748022911.0,1761311846.0,closed_unmerged,closed_unmerged,True,1003170.0,323591830,huggingface/huggingface_hub,cross,2
3109,3360,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1748022911.0,1761311846.0,1757750320.0,1759318999.0,closed_unmerged,merged,True,1568679.0,323591830,huggingface/huggingface_hub,cross,3
3359,3360,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757691954.0,1757931058.0,1757750320.0,1759318999.0,closed_unmerged,merged,True,180738.0,323591830,huggingface/huggingface_hub,cross,4
306,311,OpenAI_Codex,Google_Jules,afadil,google-labs-jules[bot],1750366338.0,1751031338.0,1751027747.0,1751031569.0,merged,merged,True,3591.0,806618581,afadil/wealthfolio,cross,0
307,311,OpenAI_Codex,Google_Jules,afadil,google-labs-jules[bot],1750367788.0,1751031368.0,1751027747.0,1751031569.0,merged,merged,True,3621.0,806618581,afadil/wealthfolio,cross,1
308,311,OpenAI_Codex,Google_Jules,afadil,google-labs-jules[bot],1750367851.0,1751031397.0,1751027747.0,1751031569.0,merged,merged,True,3650.0,806618581,afadil/wealthfolio,cross,2
309,311,OpenAI_Codex,Google_Jules,afadil,google-labs-jules[bot],1750367868.0,1751031623.0,1751027747.0,1751031569.0,merged,merged,True,3822.0,806618581,afadil/wealthfolio,cross,3
326,339,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751231553.0,1758409828.0,1752887040.0,1753564148.0,closed_unmerged,merged,True,677108.0,72041948,kelleyma49/PSFzf,cross,0
326,344,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751231553.0,1758409828.0,1756955869.0,1758407475.0,closed_unmerged,merged,True,1451606.0,72041948,kelleyma49/PSFzf,cross,1
326,346,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751231553.0,1758409828.0,1757103174.0,1757103912.0,closed_unmerged,merged,True,738.0,72041948,kelleyma49/PSFzf,cross,2
328,339,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751232735.0,1758409805.0,1752887040.0,1753564148.0,closed_unmerged,merged,True,677108.0,72041948,kelleyma49/PSFzf,cross,3
328,346,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751232735.0,1758409805.0,1757103174.0,1757103912.0,closed_unmerged,merged,True,738.0,72041948,kelleyma49/PSFzf,cross,5
187,193,Google_Jules,OpenAI_Codex,google-labs-jules[bot],Fannon,1757301722.0,1759657040.0,1759652509.0,1759661449.0,closed_unmerged,closed_unmerged,True,4531.0,389284278,Fannon/search-bookmarks-history-and-tabs,cross,0
187,194,Google_Jules,OpenAI_Codex,google-labs-jules[bot],Fannon,1757301722.0,1759657040.0,1759652729.0,1759653125.0,closed_unmerged,closed_unmerged,True,396.0,389284278,Fannon/search-bookmarks-history-and-tabs,cross,1
187,195,Google_Jules,OpenAI_Codex,google-labs-jules[bot],Fannon,1757301722.0,1759657040.0,1759652787.0,1759654003.0,closed_unmerged,merged,True,1216.0,389284278,Fannon/search-bookmarks-history-and-tabs,cross,2
133,134,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759417539.0,1759418208.0,closed_unmerged,merged,True,669.0,1046809510,vinhnx/vtcode,cross,1
133,135,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759418252.0,1759418515.0,closed_unmerged,merged,True,263.0,1046809510,vinhnx/vtcode,cross,2
133,136,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759461905.0,1759468248.0,closed_unmerged,merged,True,6343.0,1046809510,vinhnx/vtcode,cross,3
133,137,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759482424.0,1759487611.0,closed_unmerged,merged,True,5187.0,1046809510,vinhnx/vtcode,cross,4
133,139,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759485487.0,1759538835.0,closed_unmerged,closed_unmerged,True,2260.0,1046809510,vinhnx/vtcode,cross,6
36,53,OpenAI_Codex,Copilot,desaxce,Copilot,1753382978.0,1760015594.0,1760015544.0,1760370263.0,closed_unmerged,merged,True,50.0,971551940,project-numina/kimina-lean-server,cross,0
3370,3459,Copilot,OpenAI_Codex,Copilot,six7,1747933819.0,1758054198.0,1752561991.0,1755089934.0,closed_unmerged,merged,True,2527943.0,265001214,tokens-studio/figma-plugin,cross,4
3374,3393,Copilot,Cursor,Copilot,six7,1748031319.0,1750854582.0,1748512869.0,1758054572.0,merged,closed_unmerged,True,2341713.0,265001214,tokens-studio/figma-plugin,cross,5
3395,3398,Cursor,Copilot,six7,Copilot,1748520701.0,1748713902.0,1748704236.0,1749021570.0,merged,closed_unmerged,True,9666.0,265001214,tokens-studio/figma-plugin,cross,73
3419,3572,OpenAI_Codex,Copilot,six7,Copilot,1749583423.0,1758054651.0,1757540283.0,1757837255.0,closed_unmerged,closed_unmerged,True,296972.0,265001214,tokens-studio/figma-plugin,cross,114
3459,3481,OpenAI_Codex,Copilot,six7,Copilot,1752561991.0,1755089934.0,1753946826.0,1753987873.0,merged,merged,True,41047.0,265001214,tokens-studio/figma-plugin,cross,123
36050,36366,Copilot,OpenAI_Codex,Copilot,mxschmitt,1747930389.0,1751359089.0,1750401245.0,1750404237.0,closed_unmerged,merged,True,2992.0,221981891,microsoft/playwright,cross,0
36050,36374,Copilot,OpenAI_Codex,Copilot,mxschmitt,1747930389.0,1751359089.0,1750413947.0,1750417481.0,closed_unmerged,merged,True,3534.0,221981891,microsoft/playwright,cross,1
36059,36366,Copilot,OpenAI_Codex,Copilot,mxschmitt,1747957857.0,1751353079.0,1750401245.0,1750404237.0,closed_unmerged,merged,True,2992.0,221981891,microsoft/playwright,cross,2
36059,36374,Copilot,OpenAI_Codex,Copilot,mxschmitt,1747957857.0,1751353079.0,1750413947.0,1750417481.0,closed_unmerged,merged,True,3534.0,221981891,microsoft/playwright,cross,3
15752,15828,Copilot,OpenAI_Codex,Copilot,CamSoper,1755192064.0,1756856987.0,1756157010.0,1756229361.0,closed_unmerged,closed_unmerged,True,72351.0,104365663,pulumi/docs,cross,0
16031,16078,Copilot,Claude_Code,Copilot,CamSoper,1758207077.0,1758912120.0,1758746311.0,1760456190.0,closed_unmerged,closed_unmerged,True,165809.0,104365663,pulumi/docs,cross,1
41663,42988,Copilot,OpenAI_Codex,Copilot,adamh-oai,1750315832.0,1761286848.0,1757701995.0,1760134900.0,closed_unmerged,closed_unmerged,True,2432905.0,4127088,Azure/azure-sdk-for-python,cross,0
41723,42988,Copilot,OpenAI_Codex,Copilot,adamh-oai,1750702411.0,1759175869.0,1757701995.0,1760134900.0,closed_unmerged,closed_unmerged,True,1473874.0,4127088,Azure/azure-sdk-for-python,cross,1
42196,42988,Copilot,OpenAI_Codex,Copilot,adamh-oai,1753316286.0,1759517765.0,1757701995.0,1760134900.0,closed_unmerged,closed_unmerged,True,1815770.0,4127088,Azure/azure-sdk-for-python,cross,2
42988,43195,OpenAI_Codex,Copilot,adamh-oai,Copilot,1757701995.0,1760134900.0,1759251891.0,1759339764.0,closed_unmerged,merged,True,87873.0,4127088,Azure/azure-sdk-for-python,cross,3
42988,43327,OpenAI_Codex,Copilot,adamh-oai,Copilot,1757701995.0,1760134900.0,1760030614.0,1760030656.0,closed_unmerged,closed_unmerged,True,42.0,4127088,Azure/azure-sdk-for-python,cross,5
2267,2422,OpenAI_Codex,Cursor,bobzhang,bobzhang,1749804362.0,1757168763.0,1752056140.0,1753089927.0,closed_unmerged,closed_unmerged,True,1033787.0,749681472,moonbitlang/core,cross,0
2267,2540,OpenAI_Codex,Cursor,bobzhang,bobzhang,1749804362.0,1757168763.0,1754450924.0,1754873720.0,closed_unmerged,closed_unmerged,True,422796.0,749681472,moonbitlang/core,cross,5
2422,2434,Cursor,OpenAI_Codex,bobzhang,bobzhang,1752056140.0,1753089927.0,1752333380.0,1752367881.0,closed_unmerged,merged,True,34501.0,749681472,moonbitlang/core,cross,7
2422,2436,Cursor,OpenAI_Codex,bobzhang,bobzhang,1752056140.0,1753089927.0,1752369496.0,1752393624.0,closed_unmerged,closed_unmerged,True,24128.0,749681472,moonbitlang/core,cross,8
2423,2434,Cursor,OpenAI_Codex,bobzhang,bobzhang,1752064575.0,1753853852.0,1752333380.0,1752367881.0,closed_unmerged,merged,True,34501.0,749681472,moonbitlang/core,cross,12
147,163,OpenAI_Codex,Copilot,estruyf,Copilot,1749192544.0,1750406501.0,1750264766.0,1750322147.0,merged,merged,True,57381.0,726072067,estruyf/vscode-demo-time,cross,1
157,158,Copilot,OpenAI_Codex,Copilot,estruyf,1750159726.0,1750175178.0,1750173836.0,1750175165.0,closed_unmerged,merged,True,1329.0,726072067,estruyf/vscode-demo-time,cross,4
160,163,OpenAI_Codex,Copilot,estruyf,Copilot,1750175308.0,1754233996.0,1750264766.0,1750322147.0,closed_unmerged,merged,True,57381.0,726072067,estruyf/vscode-demo-time,cross,9
160,165,OpenAI_Codex,Copilot,estruyf,Copilot,1750175308.0,1754233996.0,1750264879.0,1750335543.0,closed_unmerged,closed_unmerged,True,70664.0,726072067,estruyf/vscode-demo-time,cross,10
160,170,OpenAI_Codex,Copilot,estruyf,Copilot,1750175308.0,1754233996.0,1750423404.0,1750740453.0,closed_unmerged,closed_unmerged,True,317049.0,726072067,estruyf/vscode-demo-time,cross,12
2046,2063,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1750778496.0,1750929081.0,closed_unmerged,merged,True,150585.0,221931137,celestiaorg/celestia-core,cross,3
2046,2074,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1750972139.0,1751305996.0,closed_unmerged,closed_unmerged,True,333857.0,221931137,celestiaorg/celestia-core,cross,5
2046,2103,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1751292234.0,1751320957.0,closed_unmerged,merged,True,28723.0,221931137,celestiaorg/celestia-core,cross,13
2046,2145,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1751651353.0,1756741840.0,closed_unmerged,closed_unmerged,True,5090308.0,221931137,celestiaorg/celestia-core,cross,22
2046,2234,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1753292046.0,1756741992.0,closed_unmerged,closed_unmerged,True,3449615.0,221931137,celestiaorg/celestia-core,cross,31
38031,38065,OpenAI_Codex,Cursor,webjunkie,sakce,1757688301.0,1758005727.0,1757839776.0,1757839866.0,merged,closed_unmerged,True,90.0,235901813,PostHog/posthog,cross,0
38031,38066,OpenAI_Codex,Cursor,webjunkie,sakce,1757688301.0,1758005727.0,1757843975.0,1757845374.0,merged,closed_unmerged,True,1399.0,235901813,PostHog/posthog,cross,1
38920,39163,OpenAI_Codex,Copilot,webjunkie,Copilot,1759321810.0,1760542853.0,1759750795.0,1760442319.0,closed_unmerged,closed_unmerged,True,691524.0,235901813,PostHog/posthog,cross,2
39163,39241,Copilot,OpenAI_Codex,Copilot,Twixes,1759750795.0,1760442319.0,1759838507.0,1759860676.0,closed_unmerged,merged,True,22169.0,235901813,PostHog/posthog,cross,4
39163,39448,Copilot,OpenAI_Codex,Copilot,Radu-Raicea,1759750795.0,1760442319.0,1760062391.0,1760126092.0,closed_unmerged,closed_unmerged,True,63701.0,235901813,PostHog/posthog,cross,5
2039,2047,OpenAI_Codex,Copilot,carlosvirreira,Copilot,1758049912.0,1758633949.0,1758184182.0,1758878789.0,closed_unmerged,merged,True,449767.0,600113513,Shelf-nu/shelf.nu,cross,0
2052,2066,OpenAI_Codex,Copilot,carlosvirreira,Copilot,1758208358.0,1759156281.0,1758883044.0,1760347259.0,merged,merged,True,273237.0,600113513,Shelf-nu/shelf.nu,cross,22
2066,2083,Copilot,OpenAI_Codex,Copilot,DonKoko,1758883044.0,1760347259.0,1759409407.0,1759413939.0,merged,closed_unmerged,True,4532.0,600113513,Shelf-nu/shelf.nu,cross,35
2066,2104,Copilot,OpenAI_Codex,Copilot,DonKoko,1758883044.0,1760347259.0,1760091731.0,1760093864.0,merged,merged,True,2133.0,600113513,Shelf-nu/shelf.nu,cross,49
2086,2087,OpenAI_Codex,Copilot,carlosvirreira,Copilot,1759416774.0,1759484998.0,1759475396.0,1759475443.0,merged,closed_unmerged,True,47.0,600113513,Shelf-nu/shelf.nu,cross,57
3285,3482,Copilot,OpenAI_Codex,Copilot,Rockyy174,1756309899.0,1758787695.0,1758625451.0,1758634394.0,closed_unmerged,closed_unmerged,True,8943.0,607729034,operately/operately,cross,8
3502,3553,Copilot,OpenAI_Codex,Copilot,Rockyy174,1758788142.0,1760624960.0,1759239647.0,1759251497.0,closed_unmerged,merged,True,11850.0,607729034,operately/operately,cross,40
3502,3634,Copilot,OpenAI_Codex,Copilot,Rockyy174,1758788142.0,1760624960.0,1759946934.0,1759955078.0,closed_unmerged,merged,True,8144.0,607729034,operately/operately,cross,47
3502,3635,Copilot,OpenAI_Codex,Copilot,Rockyy174,1758788142.0,1760624960.0,1760007688.0,1760012928.0,closed_unmerged,merged,True,5240.0,607729034,operately/operately,cross,48
3502,3668,Copilot,OpenAI_Codex,Copilot,Rockyy174,1758788142.0,1760624960.0,1760385966.0,1760457720.0,closed_unmerged,merged,True,71754.0,607729034,operately/operately,cross,55
1146,1198,Copilot,Claude_Code,Copilot,gubatron,1758828511.0,1761415903.0,1760020121.0,1760021527.0,closed_unmerged,merged,True,1406.0,45490972,frostwire/frostwire,cross,0
1146,1199,Copilot,Claude_Code,Copilot,gubatron,1758828511.0,1761415903.0,1760022835.0,1760023147.0,closed_unmerged,closed_unmerged,True,312.0,45490972,frostwire/frostwire,cross,1
250076,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1748553129.0,1757007194.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,0
251064,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1749529985.0,1751309899.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,2
251510,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1749950314.0,1759965918.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,3
251760,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1750199630.0,1757007196.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,6
252348,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1750799546.0,1752233854.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,9
342,343,Copilot,OpenAI_Codex,Copilot,alexrodl,1749823192.0,1751906473.0,1749846512.0,1749847830.0,closed_unmerged,closed_unmerged,True,1318.0,898171798,microsoft/fabric-cicd,cross,0
4617,5030,Copilot,Claude_Code,Copilot,christian-byrne,1753930557.0,1760982590.0,1755309476.0,1755311159.0,closed_unmerged,merged,True,1683.0,814403270,Comfy-Org/ComfyUI_frontend,cross,3
4617,5866,Copilot,OpenAI_Codex,Copilot,benceruleanlu,1753930557.0,1760982590.0,1759257846.0,1759350434.0,closed_unmerged,merged,True,92588.0,814403270,Comfy-Org/ComfyUI_frontend,cross,8
4617,6093,Copilot,OpenAI_Codex,Copilot,benceruleanlu,1753930557.0,1760982590.0,1760643438.0,1760663763.0,closed_unmerged,merged,True,20325.0,814403270,Comfy-Org/ComfyUI_frontend,cross,11
4893,5866,Claude_Code,OpenAI_Codex,huchenlei,benceruleanlu,1754842345.0,1759438480.0,1759257846.0,1759350434.0,closed_unmerged,merged,True,92588.0,814403270,Comfy-Org/ComfyUI_frontend,cross,13
6077,6097,OpenAI_Codex,Copilot,benceruleanlu,Copilot,1760554072.0,1760686664.0,1760662471.0,1760984156.0,merged,merged,True,24193.0,814403270,Comfy-Org/ComfyUI_frontend,cross,15
16057,16861,Copilot,Claude_Code,Copilot,harupy,1749009281.0,1757403765.0,1753335661.0,1753365404.0,closed_unmerged,closed_unmerged,True,29743.0,136202695,mlflow/mlflow,cross,5
16141,16449,Copilot,Claude_Code,Copilot,harupy,1749415711.0,1756450215.0,1750849231.0,1750854955.0,closed_unmerged,merged,True,5724.0,136202695,mlflow/mlflow,cross,19
17847,17848,Copilot,OpenAI_Codex,Copilot,TomeHirata,1758352251.0,1758357287.0,1758352585.0,1758505195.0,merged,closed_unmerged,True,4702.0,136202695,mlflow/mlflow,cross,47
18138,18255,Copilot,Claude_Code,Copilot,alkispoly-db,1759730326.0,1761200043.0,1760159645.0,1760309436.0,merged,merged,True,149791.0,136202695,mlflow/mlflow,cross,59
18253,18255,Copilot,Claude_Code,Copilot,alkispoly-db,1760151432.0,1760161652.0,1760159645.0,1760309436.0,merged,merged,True,2007.0,136202695,mlflow/mlflow,cross,60
20,36,Copilot,OpenAI_Codex,Copilot,aavetis,1749398723.0,1750769269.0,1750468608.0,1750769172.0,closed_unmerged,closed_unmerged,True,300564.0,988545158,aavetis/PRarena,cross,0
1521,1522,Claude_Code,Copilot,github-actions[bot],Copilot,1760161157.0,1760194440.0,1760161659.0,1760162280.0,merged,merged,True,621.0,1036865607,githubnext/gh-aw,cross,4
1524,1525,Copilot,Claude_Code,Copilot,github-actions[bot],1760162366.0,1760163543.0,1760162470.0,1760163739.0,merged,merged,True,1073.0,1036865607,githubnext/gh-aw,cross,10
1725,1765,Copilot,Claude_Code,Copilot,github-actions[bot],1760500926.0,1761041615.0,1760561725.0,1760561825.0,closed_unmerged,merged,True,100.0,1036865607,githubnext/gh-aw,cross,16
1725,1842,Copilot,Claude_Code,Copilot,github-actions[bot],1760500926.0,1761041615.0,1760695652.0,1760695833.0,closed_unmerged,merged,True,181.0,1036865607,githubnext/gh-aw,cross,17
1818,1842,Copilot,Claude_Code,Copilot,github-actions[bot],1760637356.0,1760731431.0,1760695652.0,1760695833.0,merged,merged,True,181.0,1036865607,githubnext/gh-aw,cross,22
1605,1610,Copilot,OpenAI_Codex,Copilot,clairernovotny,1759968775.0,1759980555.0,1759978183.0,1759979380.0,merged,merged,True,1197.0,4213474,Humanizr/Humanizer,cross,0
1606,1610,Copilot,OpenAI_Codex,Copilot,clairernovotny,1759968853.0,1759981394.0,1759978183.0,1759979380.0,merged,merged,True,1197.0,4213474,Humanizr/Humanizer,cross,1
13011,13693,Copilot,Claude_Code,Copilot,Boshen,1754972517.0,1760955536.0,1757602381.0,1757651564.0,closed_unmerged,closed_unmerged,True,49183.0,599431918,oxc-project/oxc,cross,7
13453,13692,Copilot,Claude_Code,Copilot,Boshen,1756587557.0,1758010047.0,1757601490.0,1757602402.0,closed_unmerged,closed_unmerged,True,912.0,599431918,oxc-project/oxc,cross,21
14380,14397,Copilot,Claude_Code,Copilot,Boshen,1759761197.0,1759823907.0,1759806531.0,1759810466.0,merged,merged,True,3935.0,599431918,oxc-project/oxc,cross,27
14380,14400,Copilot,Claude_Code,Copilot,Dunqing,1759761197.0,1759823907.0,1759820987.0,1760284884.0,merged,merged,True,2920.0,599431918,oxc-project/oxc,cross,28
14400,14444,Claude_Code,Copilot,Dunqing,Copilot,1759820987.0,1760284884.0,1759940463.0,1759940645.0,merged,closed_unmerged,True,182.0,599431918,oxc-project/oxc,cross,33
254,297,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756394650.0,1756394675.0,closed_unmerged,merged,True,25.0,617799085,machinewrapped/llm-subtrans,cross,1
254,301,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756482830.0,1756484460.0,closed_unmerged,merged,True,1630.0,617799085,machinewrapped/llm-subtrans,cross,2
254,302,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756489173.0,1756494064.0,closed_unmerged,merged,True,4891.0,617799085,machinewrapped/llm-subtrans,cross,3
254,307,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756574227.0,1756574361.0,closed_unmerged,merged,True,134.0,617799085,machinewrapped/llm-subtrans,cross,4
254,308,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756581771.0,1756638538.0,closed_unmerged,closed_unmerged,True,56767.0,617799085,machinewrapped/llm-subtrans,cross,5
967,980,Copilot,Claude_Code,Copilot,xerial,1748897702.0,1753925627.0,1749359257.0,1749359777.0,closed_unmerged,merged,True,520.0,846769747,wvlet/wvlet,cross,0
967,989,Copilot,Claude_Code,Copilot,xerial,1748897702.0,1753925627.0,1749411658.0,1749413021.0,closed_unmerged,merged,True,1363.0,846769747,wvlet/wvlet,cross,1
967,991,Copilot,Claude_Code,Copilot,xerial,1748897702.0,1753925627.0,1749418595.0,1749446482.0,closed_unmerged,merged,True,27887.0,846769747,wvlet/wvlet,cross,2
967,1029,Copilot,Claude_Code,Copilot,xerial,1748897702.0,1753925627.0,1750735588.0,1750737470.0,closed_unmerged,merged,True,1882.0,846769747,wvlet/wvlet,cross,3
705,706,Copilot,OpenAI_Codex,Copilot,pardeike,1755766382.0,1755784778.0,1755771302.0,1755785543.0,closed_unmerged,merged,True,13476.0,78002587,pardeike/Harmony,cross,0
726,727,Copilot,OpenAI_Codex,Copilot,pardeike,1757018156.0,1757079952.0,1757079925.0,1757081496.0,closed_unmerged,merged,True,27.0,78002587,pardeike/Harmony,cross,1
22804,23257,OpenAI_Codex,Copilot,WoosukKwon,Copilot,1755076789.0,1757966877.0,1755696002.0,1757450858.0,closed_unmerged,closed_unmerged,True,1754856.0,599547518,vllm-project/vllm,cross,4
22804,23385,OpenAI_Codex,Copilot,WoosukKwon,Copilot,1755076789.0,1757966877.0,1755814943.0,1756175656.0,closed_unmerged,merged,True,360713.0,599547518,vllm-project/vllm,cross,5
23257,23300,Copilot,OpenAI_Codex,Copilot,WoosukKwon,1755696002.0,1757450858.0,1755741624.0,1757966795.0,closed_unmerged,closed_unmerged,True,1709234.0,599547518,vllm-project/vllm,cross,8
23257,23434,Copilot,OpenAI_Codex,Copilot,maxdebayser,1755696002.0,1757450858.0,1755875500.0,1756451042.0,closed_unmerged,merged,True,575542.0,599547518,vllm-project/vllm,cross,11
23385,23432,Copilot,OpenAI_Codex,Copilot,maxdebayser,1755814943.0,1756175656.0,1755875373.0,1755875460.0,merged,closed_unmerged,True,87.0,599547518,vllm-project/vllm,cross,16
11336,11453,Copilot,Claude_Code,Copilot,h-a-n-a,1754622587.0,1755848538.0,1755770461.0,1755773023.0,merged,merged,True,2562.0,476642602,web-infra-dev/rspack,cross,0
11966,11978,Copilot,Claude_Code,Copilot,kdy1,1761112653.0,1761148012.0,1761147798.0,1761192829.0,closed_unmerged,merged,True,214.0,476642602,web-infra-dev/rspack,cross,1
11978,11979,Claude_Code,OpenAI_Codex,kdy1,hardfist,1761147798.0,1761192829.0,1761149510.0,1761193049.0,merged,closed_unmerged,True,43319.0,476642602,web-infra-dev/rspack,cross,2
4719,4842,OpenAI_Codex,Copilot,saracarl,Copilot,1750799334.0,1757360485.0,1755524597.0,1758826865.0,closed_unmerged,merged,True,1835888.0,509028,benwbrum/fromthepage,cross,29
4720,4755,OpenAI_Codex,Copilot,saracarl,Copilot,1750799952.0,1753127206.0,1752594717.0,1753188238.0,closed_unmerged,merged,True,532489.0,509028,benwbrum/fromthepage,cross,39
