stratum,repo_id,repo,prA,prB,agentA,agentB
same,536223005,suiet/wallet-kit,381,382,Devin,Devin
same,989134268,MCPJam/inspector,191,192,Claude_Code,Claude_Code
same,942837343,eyaltoledano/claude-task-master,1289,1291,Claude_Code,Claude_Code
same,480614136,ar-io/ar-io-node,390,391,OpenAI_Codex,OpenAI_Codex
same,862592884,Embucket/embucket,1014,1017,OpenAI_Codex,OpenAI_Codex
same,518698474,taikoxyz/taiko-mono,20447,20455,Claude_Code,Claude_Code
same,931506474,splx-ai/agentic-radar,109,110,Claude_Code,Claude_Code
same,626978831,langgenius/webapp-conversation,180,182,Claude_Code,Claude_Code
same,134668469,zamtmn/zcad,189,192,Claude_Code,Claude_Code
same,914048456,recallnet/js-recall,658,799,Cursor,Cursor
same,964314175,mediar-ai/terminator,31,32,OpenAI_Codex,OpenAI_Codex
same,844279282,bluewave-labs/verifywise,2355,2356,Claude_Code,Claude_Code
same,49970739,DataDog/datadog-agent,40830,40834,Claude_Code,Claude_Code
same,957245447,getsentry/sentry-mcp,243,245,Cursor,Cursor
same,301830590,benbjohnson/litestream,679,680,Claude_Code,Claude_Code
same,50356441,TykTechnologies/tyk-pump,890,891,Claude_Code,Claude_Code
same,887571250,proximafusion/vmecpp,340,341,Claude_Code,Claude_Code
same,314197645,zenml-io/zenml,3375,3487,Claude_Code,Claude_Code
same,130741783,netket/netket,2046,2047,OpenAI_Codex,OpenAI_Codex
same,932825524,rcourtman/Pulse,191,192,Claude_Code,Claude_Code
same,993521808,openai/openai-agents-js,63,65,OpenAI_Codex,OpenAI_Codex
same,137922416,kuberhealthy/kuberhealthy,1314,1315,OpenAI_Codex,OpenAI_Codex
same,922805069,MontrealAI/AGI-Alpha-Agent-v0,308,309,OpenAI_Codex,OpenAI_Codex
same,824433284,irsyadadl/intentui,420,421,OpenAI_Codex,OpenAI_Codex
same,513328880,obi1kenobi/cargo-semver-checks,1298,1299,OpenAI_Codex,OpenAI_Codex
same,600355571,MihaiCristianCondrea/Smart-Cleaner-for-Android,59,60,OpenAI_Codex,OpenAI_Codex
same,135059452,html2rss/html2rss,290,291,OpenAI_Codex,OpenAI_Codex
same,942943981,Mooncake-Labs/moonlink,183,184,OpenAI_Codex,OpenAI_Codex
same,801100603,TFMV/porter,50,51,OpenAI_Codex,OpenAI_Codex
same,397588892,ESPresense/ESPresense,1716,1717,OpenAI_Codex,OpenAI_Codex
same,744218577,jscarle/LightResults,54,55,OpenAI_Codex,OpenAI_Codex
same,669466632,selfxyz/self,605,616,OpenAI_Codex,OpenAI_Codex
same,338529997,gridaco/grida,345,346,OpenAI_Codex,OpenAI_Codex
same,965415649,openai/codex,964,966,OpenAI_Codex,OpenAI_Codex
same,950515906,cosmos/evm,178,179,OpenAI_Codex,OpenAI_Codex
same,172811550,cartography-cncf/cartography,1618,1619,OpenAI_Codex,OpenAI_Codex
same,77845641,hetrixtools/agent,76,77,OpenAI_Codex,OpenAI_Codex
same,296373527,pterm/pterm,721,723,OpenAI_Codex,OpenAI_Codex
same,50623416,parse-community/parse-dashboard,2878,2879,OpenAI_Codex,OpenAI_Codex
same,39321023,prebid/Prebid.js,13134,13135,OpenAI_Codex,OpenAI_Codex
same,921671178,metacraft-labs/codetracer,140,147,OpenAI_Codex,OpenAI_Codex
same,456882115,ika-rwth-aachen/mqtt_client,83,84,OpenAI_Codex,OpenAI_Codex
same,694469063,praveenjuge/mynaui-icons,18,19,OpenAI_Codex,OpenAI_Codex
same,852435100,ZantFoundation/Z-Ant,393,396,OpenAI_Codex,OpenAI_Codex
same,422711680,jaseci-labs/jaseci,1888,1889,OpenAI_Codex,OpenAI_Codex
same,984965707,analogdotnow/Analog,102,103,OpenAI_Codex,OpenAI_Codex
same,123871580,integrii/flaggy,92,93,OpenAI_Codex,OpenAI_Codex
same,4505793,openworm/sibernetic,207,208,OpenAI_Codex,OpenAI_Codex
same,881458615,browser-use/browser-use,2106,2107,Cursor,Cursor
same,2524463,propelorm/Propel2,2049,2050,OpenAI_Codex,OpenAI_Codex
same,12594924,jdereg/json-io,385,386,OpenAI_Codex,OpenAI_Codex
same,883593929,selcukorkmaz/fastml,38,39,OpenAI_Codex,OpenAI_Codex
same,20371637,dashpay/dash-wallet,1394,1395,OpenAI_Codex,OpenAI_Codex
same,28589709,sakaiproject/sakai,13751,13754,OpenAI_Codex,OpenAI_Codex
same,69615317,joewandy/hlda,47,48,OpenAI_Codex,OpenAI_Codex
same,461921306,tangle-network/tangle,1009,1010,OpenAI_Codex,OpenAI_Codex
same,23236083,CitizensFoundation/your-priorities-app,173,174,OpenAI_Codex,OpenAI_Codex
same,71934380,scoringengine/scoringengine,985,986,OpenAI_Codex,OpenAI_Codex
same,13683952,herbie-fp/herbie,1248,1249,OpenAI_Codex,OpenAI_Codex
same,756594023,bruin-data/ingestr,235,236,OpenAI_Codex,OpenAI_Codex
same,899127822,WorkflowAI/WorkflowAI,370,371,OpenAI_Codex,OpenAI_Codex
same,658914776,marin-community/haliax,138,142,OpenAI_Codex,OpenAI_Codex
same,893011665,Hankanman/Area-Occupancy-Detection,68,71,OpenAI_Codex,OpenAI_Codex
same,117512926,orangecoding/fredy,130,131,OpenAI_Codex,OpenAI_Codex
same,718493113,Stratus-Security/Subdominator,13,14,OpenAI_Codex,OpenAI_Codex
same,577394553,nguyenvanduocit/obsidian-open-gate,89,90,OpenAI_Codex,OpenAI_Codex
same,216883277,wieslawsoltes/Svg.Skia,311,312,OpenAI_Codex,OpenAI_Codex
same,13696235,effekseer/Effekseer,1043,1044,OpenAI_Codex,OpenAI_Codex
same,267946173,pseudosavant/player.html,28,29,OpenAI_Codex,OpenAI_Codex
same,663834147,Sls0n/Prismify,24,25,OpenAI_Codex,OpenAI_Codex
same,449554700,amplitude/Amplitude-TypeScript,1104,1105,OpenAI_Codex,OpenAI_Codex
same,71643008,DistroAV/DistroAV,1314,1317,OpenAI_Codex,OpenAI_Codex
same,36438823,wwood/singlem,230,231,OpenAI_Codex,OpenAI_Codex
same,917661541,r-huijts/xcode-mcp-server,9,10,OpenAI_Codex,OpenAI_Codex
same,588739758,iopsystems/rezolus,521,522,OpenAI_Codex,OpenAI_Codex
same,362280662,dongaba/TVerRec,272,273,OpenAI_Codex,OpenAI_Codex
same,31341340,kern/filepizza,277,278,OpenAI_Codex,OpenAI_Codex
same,607441698,lancedb/lancedb,2726,2728,OpenAI_Codex,OpenAI_Codex
same,1048500046,gkamradt/agenttrafficcontrol,1,2,OpenAI_Codex,OpenAI_Codex
same,983757718,superagent-ai/vibekit,15,16,OpenAI_Codex,OpenAI_Codex
same,424931881,jinia91/blog,116,117,OpenAI_Codex,OpenAI_Codex
same,946251174,mcpgod/cli,7,8,OpenAI_Codex,OpenAI_Codex
same,958940440,smat-dev/jinni,8,9,OpenAI_Codex,OpenAI_Codex
same,946380199,openai/openai-agents-python,736,737,OpenAI_Codex,OpenAI_Codex
same,898949330,PriorLabs/tabpfn-extensions,104,105,OpenAI_Codex,OpenAI_Codex
same,844305953,kyryl-opens-ml/no-ocr,11,12,OpenAI_Codex,OpenAI_Codex
same,402201126,wieslawsoltes/NXUI,32,33,OpenAI_Codex,OpenAI_Codex
same,933680436,waldzellai/waldzell-mcp,56,57,OpenAI_Codex,OpenAI_Codex
same,740112691,thomasjjj/Telegram-Snowball-Sampling,9,10,OpenAI_Codex,OpenAI_Codex
same,15830219,log4cplus/log4cplus,648,649,OpenAI_Codex,OpenAI_Codex
same,895942941,coderamp-labs/gitingest,507,508,Cursor,Cursor
same,1034142340,darksworm/argonaut,51,52,OpenAI_Codex,OpenAI_Codex
same,912477289,ivanfioravanti/wine_variety_classification,4,5,OpenAI_Codex,OpenAI_Codex
same,49275951,stevermeister/ngx-wig,237,241,OpenAI_Codex,OpenAI_Codex
same,170540207,miguel5612/MQSensorsLib,77,78,OpenAI_Codex,OpenAI_Codex
same,161053237,OpenHD/OpenHD,1181,1182,OpenAI_Codex,OpenAI_Codex
same,532097222,passsy/spot,114,115,OpenAI_Codex,OpenAI_Codex
same,639824542,lunary-ai/lunary,969,970,OpenAI_Codex,OpenAI_Codex
same,125211182,BoldGrid/w3-total-cache,1173,1174,OpenAI_Codex,OpenAI_Codex
same,48030204,visgl/deck.gl,9756,9769,OpenAI_Codex,OpenAI_Codex
same,394757291,opral/monorepo,3664,3665,OpenAI_Codex,OpenAI_Codex
same,474961035,fujiapple852/trippy,1607,1608,OpenAI_Codex,OpenAI_Codex
same,23315232,litedb-org/LiteDB,2624,2625,OpenAI_Codex,OpenAI_Codex
same,246072685,stx-labs/explorer,2241,2242,OpenAI_Codex,OpenAI_Codex
same,917437058,openai/openai-realtime-agents,56,58,OpenAI_Codex,OpenAI_Codex
same,946676136,PrunaAI/pruna,143,144,OpenAI_Codex,OpenAI_Codex
same,634043200,modular/modular,4614,4615,OpenAI_Codex,OpenAI_Codex
same,565750987,joamag/boytacean,14,15,OpenAI_Codex,OpenAI_Codex
same,174731004,ikamensh/flynt,217,218,OpenAI_Codex,OpenAI_Codex
same,224208127,winedarksea/AutoTS,261,262,OpenAI_Codex,OpenAI_Codex
same,642965459,alchemyplatform/aa-sdk,1786,1790,OpenAI_Codex,OpenAI_Codex
same,314230339,golang-design/clipboard,73,74,OpenAI_Codex,OpenAI_Codex
same,3084583,mattiasw/ExifReader,526,527,OpenAI_Codex,OpenAI_Codex
same,719367294,VRSEN/agency-swarm,344,345,OpenAI_Codex,OpenAI_Codex
same,1364003,erjiang/usbscale,34,35,OpenAI_Codex,OpenAI_Codex
same,1041536319,coder/httpjail,13,14,OpenAI_Codex,OpenAI_Codex
same,7741856,pixijs/pixijs,11429,11430,OpenAI_Codex,OpenAI_Codex
same,728625849,optiscaler/OptiScaler,502,503,OpenAI_Codex,OpenAI_Codex
same,716778600,LayerZero-Labs/devtools,1504,1506,OpenAI_Codex,OpenAI_Codex
same,895061592,sapireli/AirPrint_Bridge,18,19,OpenAI_Codex,OpenAI_Codex
same,280296762,joshuafuller/ATAK-Maps,38,39,OpenAI_Codex,OpenAI_Codex
same,787462297,Blaizzy/mlx-vlm,356,357,OpenAI_Codex,OpenAI_Codex
same,175988627,BackendStack21/0http,46,47,OpenAI_Codex,OpenAI_Codex
same,31261671,OpenHFT/Chronicle-Bytes,664,666,OpenAI_Codex,OpenAI_Codex
same,358226004,pollinations/pollinations,4155,4156,OpenAI_Codex,OpenAI_Codex
same,900612306,logiscape/mcp-sdk-php,27,28,OpenAI_Codex,OpenAI_Codex
same,1013830656,permissionlesstech/bitchat,693,694,OpenAI_Codex,OpenAI_Codex
same,38137840,gojiplus/tuber,143,144,OpenAI_Codex,OpenAI_Codex
same,67726921,maplibre/maputnik,1258,1259,OpenAI_Codex,OpenAI_Codex
same,948098004,przeprogramowani/ai-rules-builder,69,70,OpenAI_Codex,OpenAI_Codex
same,644499668,SimonHalvdansson/Harmonic-HN,212,213,OpenAI_Codex,OpenAI_Codex
same,974878688,Automattic/wordpress-mcp,29,30,OpenAI_Codex,OpenAI_Codex
same,511139581,koculu/ZoneTree,127,128,OpenAI_Codex,OpenAI_Codex
same,131896967,puemos/hls-downloader,425,426,OpenAI_Codex,OpenAI_Codex
same,915470479,grll/mcpadapt,57,58,OpenAI_Codex,OpenAI_Codex
same,756293439,kubetail-org/kubetail,381,382,OpenAI_Codex,OpenAI_Codex
same,5892161,jonycheung/deadsimple-less-watch-compiler,177,178,OpenAI_Codex,OpenAI_Codex
same,307265454,Divkix/Alita_Robot,475,476,OpenAI_Codex,OpenAI_Codex
same,215654064,temporalio/temporal,7860,7861,OpenAI_Codex,OpenAI_Codex
same,588732058,zurawiki/gptcommit,325,326,OpenAI_Codex,OpenAI_Codex
same,959470185,boldsoftware/sketch,111,112,OpenAI_Codex,OpenAI_Codex
same,29126334,EasyCorp/EasyAdminBundle,6964,6965,OpenAI_Codex,OpenAI_Codex
same,957716837,disler/just-prompt,12,13,OpenAI_Codex,OpenAI_Codex
same,163722349,pomerium/pomerium,5619,5620,OpenAI_Codex,OpenAI_Codex
same,704276948,kylebarron/geo-index,131,133,OpenAI_Codex,OpenAI_Codex
same,702167193,Minituff/nautical-backup,528,529,OpenAI_Codex,OpenAI_Codex
same,688141049,mangiucugna/json_repair,116,117,OpenAI_Codex,OpenAI_Codex
same,677673846,scientist-labs/red-candle,26,27,OpenAI_Codex,OpenAI_Codex
same,200867511,hsahovic/poke-env,744,745,OpenAI_Codex,OpenAI_Codex
same,1027472552,openonion/connectonion,1,2,OpenAI_Codex,OpenAI_Codex
same,47765186,mshr-h/vscode-verilog-hdl-support,524,526,OpenAI_Codex,OpenAI_Codex
same,161202327,flaviuse/mern-authentication,219,220,OpenAI_Codex,OpenAI_Codex
same,209376972,jilleb/mib2-toolbox,298,299,OpenAI_Codex,OpenAI_Codex
same,52271379,ricktu288/ray-optics,244,245,OpenAI_Codex,OpenAI_Codex
same,765572754,hyperion-mc/hyperion,900,901,OpenAI_Codex,OpenAI_Codex
same,744294553,sslava/ai-sdk-agents,24,25,OpenAI_Codex,OpenAI_Codex
same,614368458,GDevelopApp/GDevelop-documentation,355,357,Cursor,Cursor
same,753697606,moxin-org/moly,521,522,OpenAI_Codex,OpenAI_Codex
same,31656719,dasch/avro_turf,224,225,OpenAI_Codex,OpenAI_Codex
same,1021307587,huhusmang/Subscription-Management,22,23,Cursor,Cursor
same,990481429,Pipelex/pipelex,15,16,OpenAI_Codex,OpenAI_Codex
same,958189434,langchain-ai/agents-from-scratch,31,32,OpenAI_Codex,OpenAI_Codex
same,257932000,GavriloviciEduard/Asclepios-DICOM-Viewer,26,27,OpenAI_Codex,OpenAI_Codex
same,240541316,huggingface/blog,2871,2872,OpenAI_Codex,OpenAI_Codex
same,965636860,cgoinglove/better-chatbot,273,274,Cursor,Cursor
same,51176043,getsentry/sentry-cli,2652,2673,Cursor,Cursor
same,701627142,AJaySi/ALwrity,217,218,Cursor,Cursor
same,33837371,getsentry/sentry-docs,13965,13966,Cursor,Cursor
same,751000531,run-llama/llama_cloud_services,927,928,Cursor,Cursor
same,994983023,0xfurai/peekaping,91,92,Cursor,Cursor
same,55534429,getsentry/sentry-cocoa,5820,5822,Cursor,Cursor
same,820144741,iterative/datachain,1190,1191,Cursor,Cursor
same,646985602,mfts/papermark,1757,1758,Cursor,Cursor
same,944416086,lumia431/reaction,16,17,Cursor,Cursor
same,280557054,trpc/trpc,6963,6964,Cursor,Cursor
same,976178718,helixml/kodit,279,280,Cursor,Cursor
same,383777434,chakra-ui/zag,2623,2624,Cursor,Cursor
same,151387091,Emurgo/yoroi,4010,4011,Cursor,Cursor
same,337764594,cosmos/ibc-go,8622,8623,Cursor,Cursor
same,283728680,dailydotdev/apps,4632,4633,Cursor,Cursor
same,797216527,mattpocock/total-typescript-monorepo,268,269,Cursor,Cursor
same,224034848,ml-struct-bio/cryodrgn,448,451,Cursor,Cursor
same,450188582,mito-ds/mito,1982,1983,Cursor,Cursor
same,320370787,arxanas/git-branchless,1592,1593,Cursor,Cursor
same,333360132,pzcn/Perfect-Icons-Completion-Project,147,148,Cursor,Cursor
same,75255555,requestly/requestly,3377,3403,Cursor,Cursor
same,9549081,rspamd/rspamd,5654,5656,Cursor,Cursor
same,818914733,RomanHauksson/academic-project-astro-template,45,46,Cursor,Cursor
same,466535014,vikstrous/dataloadgen,21,22,Cursor,Cursor
same,448400171,hisabi-app/hisabi,91,92,Cursor,Cursor
same,600071289,metaplex-foundation/umi,183,184,Cursor,Cursor
same,461280850,shuttle-hq/shuttle,2101,2102,Cursor,Cursor
